Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=240, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=480, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
a897184a-2504-4a1c-b632-2eb48683e5c8
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6320      0.0992     0.1135     11.4923
00100     1.8391      0.3291     0.4021     76.7867
00200     1.3537      0.5759     0.4720     74.8609
00300     1.3043      0.5654     0.5761     76.0721
00400     1.1630      0.6245     0.5761     77.3136
00500     1.0340      0.6624     0.5806     78.8294
00600     0.9640      0.6835     0.6415     66.2576
00700     0.9333      0.7173     0.6415     66.6282
00800     0.9345      0.7068     0.6415     65.5879
00900     0.8832      0.7257     0.6415     65.8502
01000     0.8395      0.7468     0.6508     66.4741
01100     0.8239      0.7405     0.6538     66.3928
01200     0.8892      0.7300     0.6539     66.7721
01300     0.8746      0.7300     0.6539     66.5686
01400     0.9068      0.7131     0.6539     67.5418
01500     0.7893      0.7679     0.6539     66.3805
01600     0.8583      0.7215     0.6650     66.9379
01700     0.7729      0.7743     0.6715     67.2830
01800     0.7589      0.7532     0.6771     66.9499
01900     0.7268      0.7932     0.6771     66.8919
02000     0.7649      0.7764     0.6771     67.3048
02100     0.8585      0.7173     0.6771     66.9823
02200     0.8448      0.7532     0.6779     67.4338
02300     0.8508      0.7616     0.6779     68.1377
02400     0.7848      0.7574     0.6779     67.5984
02500     0.8065      0.7574     0.6992     68.0681
02600     0.7547      0.7785     0.6992     67.7920
02700     0.7322      0.7869     0.6992     68.4197
02800     0.7030      0.7890     0.6992     68.5355
02900     0.7382      0.7869     0.6992     67.4131
03000     0.7776      0.7806     0.6992     68.1757
03100     0.7286      0.7869     0.6992     67.8258
