Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=300, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=600, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
52628df2-f506-4422-a099-f7ecf1d480b0
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5912      0.1013     0.1123     16.9972
00100     1.6737      0.4262     0.4821     89.6333
00200     1.2593      0.5886     0.6480     87.0034
00300     1.0611      0.6540     0.7125     87.3237
00400     1.0056      0.7089     0.7455     86.4348
00500     0.8981      0.7110     0.7657     87.6013
00600     0.8703      0.7236     0.7743     85.3985
00700     0.8580      0.7278     0.7776     86.7153
00800     0.8252      0.7300     0.7776     87.6057
00900     0.7892      0.7616     0.7784     89.0124
01000     0.7610      0.7616     0.7938     89.0706
01100     0.7195      0.7890     0.8007     87.6395
01200     0.7354      0.7827     0.8038     89.0870
01300     0.8098      0.7553     0.8043     88.3999
01400     0.7733      0.7511     0.8100     89.5822
01500     0.7107      0.7827     0.8100     88.1071
01600     0.7824      0.7447     0.8100     89.4192
01700     0.6561      0.8059     0.8155     88.5149
01800     0.6413      0.8101     0.8155     90.8980
01900     0.7385      0.7932     0.8155     91.1774
02000     0.7180      0.7911     0.8156     90.2455
02100     0.6802      0.7743     0.8238     90.6210
02200     0.7242      0.7764     0.8238     89.7212
02300     0.6658      0.7869     0.8261     90.6590
02400     0.7261      0.7869     0.8261     88.2027
02500     0.6772      0.7932     0.8312     91.3747
02600     0.6883      0.8038     0.8312     91.3038
02700     0.6720      0.8059     0.8332     90.6501
02800     0.5726      0.8354     0.8332     91.9541
02900     0.6666      0.8143     0.8332     89.8458
03000     0.7104      0.8017     0.8332     94.8279
03100     0.6386      0.8207     0.8332     92.7391
03200     0.6390      0.8186     0.8332     92.6653
03300     0.6330      0.7932     0.8334     91.3331
03400     0.7001      0.7890     0.8342     90.1295
03500     0.5870      0.8249     0.8379     88.4469
03600     0.5849      0.8017     0.8392     91.9020
03700     0.5648      0.8291     0.8392     89.7178
03800     0.6574      0.8186     0.8392     89.7832
03900     0.6609      0.7869     0.8392     89.4700
04000     0.5571      0.8291     0.8392     87.5085
04100     0.5346      0.8376     0.8392     90.7196
04200     0.5526      0.8544     0.8392     88.4674
04300     0.7415      0.7637     0.8392     89.5629
04400     0.6504      0.7975     0.8392     90.8166
04500     0.5979      0.8080     0.8392     91.7728
04600     0.7189      0.7679     0.8392     91.5353
04700     0.5107      0.8397     0.8392     89.8347
04800     0.5453      0.8439     0.8392     89.9419
04900     0.6046      0.8354     0.8392     90.0772
05000     0.5760      0.8312     0.8392     88.8123
05100     0.5851      0.8270     0.8392     91.6504
05200     0.5559      0.8249     0.8429     91.2477
05300     0.6010      0.8249     0.8429     90.0584
05400     0.5748      0.8354     0.8429     92.0356
05500     0.6375      0.7996     0.8429     88.8945
05600     0.5680      0.8270     0.8429     85.5076
05700     0.4936      0.8671     0.8430     80.6037
05800     0.6168      0.8101     0.8430     78.1825
05900     0.6274      0.8165     0.8430     80.3328
06000     0.5691      0.8122     0.8430     79.3953
06100     0.6110      0.8017     0.8430     80.7742
06200     0.5020      0.8502     0.8441     80.1528
06300     0.5465      0.8249     0.8441     81.0801
06400     0.5016      0.8629     0.8441     81.0085
06500     0.5376      0.8354     0.8441     79.4178
06600     0.5732      0.8312     0.8441     79.6109
06700     0.5206      0.8418     0.8441     79.4652
06800     0.5045      0.8586     0.8441     80.6828
06900     0.5540      0.8333     0.8441     80.2639
07000     0.6060      0.8228     0.8441     78.8603
07100     0.5861      0.8249     0.8481     80.6694
07200     0.5930      0.8143     0.8481     78.7536
07300     0.5530      0.8249     0.8481     79.6162
07400     0.6110      0.8165     0.8481     79.9314
07500     0.4917      0.8586     0.8481     78.3696
07600     0.5542      0.8291     0.8481     79.9648
07700     0.5249      0.8439     0.8481     79.3285
07800     0.4901      0.8523     0.8481     78.7292
07900     0.4487      0.8608     0.8481     80.2428
08000     0.5481      0.8523     0.8481     78.5725
08100     0.5459      0.8333     0.8481     80.0907
08200     0.5804      0.8376     0.8481     78.9515
08300     0.5234      0.8460     0.8481     78.2058
08400     0.5609      0.8418     0.8481     78.5714
08500     0.4804      0.8544     0.8481     78.1238
08600     0.5721      0.8165     0.8568     80.0012
08700     0.5618      0.8397     0.8568     79.2197
08800     0.5070      0.8439     0.8568     78.7150
08900     0.5324      0.8312     0.8568     80.1591
09000     0.4892      0.8439     0.8568     79.9083
09100     0.4891      0.8586     0.8568     79.7645
09200     0.5846      0.8376     0.8568     80.7709
09300     0.4626      0.8608     0.8568     80.1621
09400     0.5930      0.8143     0.8568     81.4515
09500     0.5264      0.8544     0.8568     81.4761
09600     0.5130      0.8502     0.8568     80.9055
09700     0.5604      0.8333     0.8568     78.4487
09800     0.5370      0.8376     0.8568     79.1226
09900     0.4940      0.8565     0.8568     80.8429
10000     0.5106      0.8439     0.8568     79.4248
10100     0.4425      0.8713     0.8568     78.0906
10200     0.5286      0.8523     0.8568     79.6951
10300     0.4995      0.8270     0.8568     79.4029
10400     0.4373      0.8629     0.8568     77.4637
10500     0.4648      0.8502     0.8568     77.9218
10600     0.3398      0.9051     0.8568     78.6681
10700     0.5377      0.8397     0.8568     78.6262
10800     0.4205      0.8903     0.8568     78.2292
10900     0.4958      0.8544     0.8568     80.5864
11000     0.4424      0.8671     0.8568     80.9062
11100     0.4642      0.8650     0.8568     78.9806
11200     0.4898      0.8565     0.8568     79.0217
11300     0.4557      0.8692     0.8568     79.6921
11400     0.4768      0.8671     0.8568     78.8791
11500     0.4555      0.8650     0.8568     79.5078
11600     0.4759      0.8776     0.8568     80.1580
11700     0.4740      0.8565     0.8568     77.4386
11800     0.4152      0.8819     0.8568     79.5622
11900     0.4185      0.8713     0.8568     79.5518
12000     0.4956      0.8586     0.8568     79.5895
12100     0.5004      0.8502     0.8568     80.6502
12200     0.4371      0.8819     0.8568     76.2761
12300     0.5297      0.8502     0.8568     70.5927
12400     0.4045      0.8819     0.8568     71.2702
12500     0.4694      0.8586     0.8568     74.0872
12600     0.4665      0.8713     0.8568     76.0403
12700     0.4389      0.8776     0.8568     73.6505
12800     0.4527      0.8523     0.8568     73.6626
12900     0.4410      0.8734     0.8568     74.3528
13000     0.4716      0.8586     0.8568     73.0247
13100     0.4624      0.8629     0.8568     74.1754
13200     0.4608      0.8861     0.8568     73.8598
13300     0.4795      0.8586     0.8568     73.9323
13400     0.4410      0.8819     0.8568     76.0954
13500     0.3808      0.8819     0.8568     69.8796
13600     0.4485      0.8819     0.8568     68.9865
13700     0.4421      0.8776     0.8568     67.7791
13800     0.4382      0.8713     0.8568     68.5500
13900     0.4450      0.8629     0.8568     68.5545
14000     0.4936      0.8481     0.8568     67.8435
14100     0.4058      0.8840     0.8568     68.0013
14200     0.4186      0.8797     0.8568     67.8223
14300     0.4909      0.8586     0.8568     68.0231
14400     0.4431      0.8713     0.8568     67.9710
14500     0.4321      0.8755     0.8568     66.3723
14600     0.4375      0.8671     0.8568     66.8473
14700     0.4403      0.8797     0.8568     68.5458
14800     0.4317      0.8755     0.8568     67.0837
14900     0.4116      0.8861     0.8568     68.7606
15000     0.3844      0.8861     0.8568     67.8728
15100     0.4041      0.8987     0.8568     67.8175
15200     0.4160      0.8840     0.8568     69.0908
15300     0.4593      0.8629     0.8568     68.5523
15400     0.4015      0.8840     0.8568     68.3281
15500     0.4750      0.8544     0.8568     68.6129
15600     0.4071      0.8840     0.8568     69.0341
15700     0.4528      0.8692     0.8568     67.9284
15800     0.5191      0.8354     0.8568     67.2397
15900     0.4279      0.8734     0.8568     67.9623
16000     0.4664      0.8713     0.8568     66.9754
16100     0.5274      0.8376     0.8568     68.0751
16200     0.4569      0.8586     0.8568     67.6991
16300     0.4165      0.8903     0.8568     67.6523
16400     0.4571      0.8544     0.8568     66.6874
16500     0.4344      0.8819     0.8568     68.9260
16600     0.5292      0.8397     0.8568     66.6662
16700     0.4940      0.8586     0.8568     68.7328
16800     0.3946      0.8840     0.8568     67.8481
16900     0.4928      0.8418     0.8568     67.7847
17000     0.4870      0.8523     0.8568     68.5573
17100     0.4475      0.8797     0.8568     67.8382
17200     0.4079      0.8903     0.8568     68.2090
17300     0.4181      0.8650     0.8568     68.6660
17400     0.5043      0.8376     0.8568     69.3855
17500     0.4312      0.8713     0.8568     67.3304
17600     0.5081      0.8502     0.8568     67.4843
17700     0.4375      0.8861     0.8568     68.3117
17800     0.4806      0.8629     0.8568     69.0144
17900     0.4637      0.8629     0.8568     68.0694
18000     0.4788      0.8460     0.8568     68.0201
18100     0.4701      0.8608     0.8568     67.8527
18200     0.4103      0.8819     0.8568     67.9777
18300     0.5044      0.8460     0.8568     68.8323
18400     0.4344      0.8755     0.8568     67.0682
18500     0.4217      0.8734     0.8568     67.5604
18600     0.4143      0.8755     0.8568     67.9833
18700     0.4915      0.8439     0.8568     68.6216
18800     0.3952      0.8903     0.8568     68.1047
18900     0.4974      0.8565     0.8568     69.1142
19000     0.4672      0.8713     0.8568     67.6966
19100     0.4330      0.8819     0.8568     67.7475
19200     0.4296      0.8734     0.8568     68.0291
19300     0.4844      0.8586     0.8568     67.1909
19400     0.4271      0.8861     0.8568     67.0222
19500     0.3570      0.9030     0.8568     66.5608
19600     0.3977      0.8924     0.8568     68.4326
19700     0.4221      0.8776     0.8568     67.9616
19800     0.4032      0.8945     0.8568     66.9069
19900     0.4737      0.8650     0.8568     67.8993
20000     0.4044      0.8671     0.8568     67.6865
20100     0.3964      0.8840     0.8568     67.7326
20199     0.4332      0.8776     0.8568     66.3188
Start finetuning with noise:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     0.7239      0.7722     0.7928     9.1463
00100     0.4730      0.8776     0.8689     68.6342
00200     0.4657      0.8692     0.8708     67.9494
00300     0.4128      0.8861     0.8759     68.6032
00400     0.4555      0.8734     0.8759     68.9602
00500     0.4619      0.8565     0.8759     67.1224
00600     0.4114      0.8797     0.8759     67.0803
00700     0.4526      0.8734     0.8767     68.1335
00800     0.4493      0.8776     0.8767     68.3666
00900     0.5182      0.8460     0.8792     68.1767
01000     0.4984      0.8608     0.8792     67.6872
01100     0.4249      0.8840     0.8792     68.0971
01200     0.3821      0.8945     0.8792     69.8904
01300     0.4498      0.8671     0.8792     67.3905
01400     0.4711      0.8481     0.8793     69.2647
01500     0.4598      0.8629     0.8793     69.3675
01600     0.4314      0.8692     0.8793     69.1639
01700     0.4893      0.8502     0.8793     64.6661
01800     0.4412      0.8544     0.8793     74.3362
01900     0.3677      0.8861     0.8793     69.8311
02000     0.4334      0.8755     0.8793     61.1981
02100     0.4795      0.8544     0.8793     63.6463
02200     0.4777      0.8523     0.8793     61.4041
02300     0.4494      0.8671     0.8793     61.2278
02400     0.2823      0.9304     0.8793     62.1476
02500     0.3970      0.8903     0.8805     61.1277
02600     0.4452      0.8650     0.8805     62.7717
02700     0.4322      0.8755     0.8805     67.7885
02800     0.4272      0.8692     0.8805     61.1212
02900     0.4357      0.8882     0.8805     61.2456
03000     0.4125      0.8840     0.8805     61.1770
03100     0.4353      0.8734     0.8805     62.0922
03200     0.4135      0.8903     0.8805     61.5790
03300     0.5130      0.8291     0.8805     61.9051
03400     0.5222      0.8565     0.8821     69.1208
03500     0.4672      0.8565     0.8821     64.3843
03600     0.4109      0.8629     0.8821     70.5316
03700     0.4567      0.8650     0.8821     61.6247
03800     0.4965      0.8502     0.8821     61.1708
03900     0.4560      0.8671     0.8821     60.5415
04000     0.4716      0.8565     0.8821     65.9801
04100     0.4076      0.8861     0.8821     61.1431
04200     0.4631      0.8713     0.8821     61.4997
04300     0.4552      0.8776     0.8821     62.0885
04400     0.4434      0.8755     0.8821     61.1451
04500     0.4106      0.8797     0.8821     63.5963
04600     0.4220      0.8840     0.8821     61.6091
04700     0.4848      0.8460     0.8821     61.5932
04800     0.4475      0.8797     0.8821     61.6608
04900     0.4589      0.8713     0.8821     61.2821
05000     0.4453      0.8755     0.8821     67.1031
05100     0.5209      0.8397     0.8821     61.4396
05200     0.4405      0.8755     0.8821     61.0163
05300     0.4892      0.8755     0.8821     61.6057
05400     0.5149      0.8460     0.8821     61.8129
05500     0.4616      0.8713     0.8821     70.4907
05600     0.4599      0.8692     0.8821     69.0076
05700     0.4698      0.8608     0.8821     69.0568
05800     0.4383      0.8861     0.8821     69.5516
05900     0.4218      0.8840     0.8821     69.3409
06000     0.4244      0.8734     0.8821     69.3418
06100     0.4172      0.8713     0.8821     70.2494
06200     0.3989      0.8987     0.8821     69.3568
06300     0.3921      0.8882     0.8821     68.4213
06400     0.4355      0.8734     0.8821     60.7313
06500     0.4125      0.8734     0.8821     60.7382
06600     0.4972      0.8544     0.8821     60.8342
06700     0.4099      0.8713     0.8821     65.9546
06800     0.4612      0.8734     0.8821     63.0089
06900     0.4697      0.8671     0.8821     61.0186
07000     0.4234      0.8692     0.8821     60.8736
07100     0.4689      0.8608     0.8821     61.7982
07200     0.4270      0.8797     0.8821     62.8931
07300     0.4441      0.8608     0.8821     71.0713
07400     0.4271      0.8734     0.8821     60.9050
07500     0.4505      0.8734     0.8821     64.9182
07600     0.4356      0.8671     0.8821     63.3180
07700     0.4189      0.8966     0.8821     61.4783
07800     0.4418      0.8776     0.8821     62.3539
07900     0.4828      0.8586     0.8821     66.5677
08000     0.4541      0.8671     0.8821     61.1011
08100     0.4664      0.8376     0.8821     66.4475
08200     0.3840      0.8945     0.8821     67.2762
08300     0.4038      0.8861     0.8821     68.7963
08400     0.3957      0.8903     0.8821     66.6515
08500     0.4335      0.8650     0.8821     63.1915
08600     0.4460      0.8692     0.8821     63.8049
08700     0.4250      0.8882     0.8821     63.0079
08800     0.4979      0.8544     0.8821     68.5554
08900     0.4104      0.8629     0.8821     69.9955
09000     0.4295      0.8797     0.8821     61.9211
09100     0.4700      0.8650     0.8821     63.4254
09200     0.4428      0.8650     0.8821     66.0941
09300     0.4086      0.8882     0.8821     66.6845
09400     0.4727      0.8502     0.8821     63.4827
09500     0.4256      0.8819     0.8821     68.7096
09600     0.4544      0.8608     0.8821     67.2233
09700     0.4990      0.8565     0.8821     69.8560
