Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
19e0d8aa-7167-48be-87a0-2977dc20557f
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6663      0.0802     0.0766     11.5620
00100     1.6592      0.4473     0.5259     73.9120
00200     1.2830      0.5949     0.6510     75.7071
00300     1.1316      0.6540     0.7199     72.2037
00400     1.0375      0.6878     0.7354     70.6633
00500     0.8829      0.6983     0.7841     70.3579
00600     0.8637      0.7426     0.7937     67.8225
00700     0.8163      0.7637     0.7937     67.2185
00800     0.7991      0.7447     0.7952     67.5234
00900     0.7993      0.7616     0.7959     67.3563
01000     0.7873      0.7700     0.7959     66.6632
01100     0.6919      0.8017     0.7999     68.0076
01200     0.7238      0.7743     0.8043     66.6928
01300     0.7591      0.7722     0.8043     67.4103
01400     0.6942      0.7785     0.8198     68.4341
01500     0.7855      0.7722     0.8198     67.4502
01600     0.7524      0.7616     0.8198     67.9372
01700     0.7100      0.7616     0.8198     67.3338
01800     0.6819      0.7911     0.8226     67.9996
01900     0.7233      0.7827     0.8226     68.3635
02000     0.6816      0.7975     0.8226     67.4587
02100     0.7596      0.7468     0.8234     67.0483
02200     0.7015      0.7848     0.8273     67.6231
02300     0.7022      0.7890     0.8273     66.9904
02400     0.6587      0.8017     0.8273     67.6734
02500     0.6385      0.8186     0.8368     66.5301
02600     0.6728      0.7975     0.8368     67.2217
02700     0.6802      0.7975     0.8379     67.0540
02800     0.5806      0.8376     0.8379     67.2582
02900     0.7749      0.7637     0.8379     67.7181
03000     0.7059      0.7700     0.8379     67.7403
03100     0.7181      0.7722     0.8379     68.6217
03200     0.5880      0.8165     0.8408     69.3715
03300     0.7190      0.7722     0.8408     67.9811
03400     0.6548      0.8080     0.8408     67.3744
03500     0.6327      0.8101     0.8408     67.1764
03600     0.6221      0.8207     0.8408     66.8083
03700     0.6215      0.8059     0.8408     66.7040
03800     0.6044      0.8122     0.8408     68.0089
03900     0.6301      0.8165     0.8408     68.5746
04000     0.6415      0.8080     0.8408     68.3848
04100     0.6496      0.8122     0.8408     67.7123
04200     0.6607      0.7932     0.8408     67.2428
04300     0.6054      0.8312     0.8408     67.5038
04400     0.6365      0.8017     0.8408     67.7348
04500     0.5979      0.8207     0.8420     68.1997
04600     0.5897      0.8333     0.8494     68.8716
04700     0.5432      0.8397     0.8494     68.1326
04800     0.6473      0.8017     0.8494     67.3688
04900     0.6628      0.8186     0.8494     67.5879
05000     0.6066      0.8249     0.8494     67.6708
05100     0.5669      0.8354     0.8494     67.9898
05200     0.6353      0.7932     0.8494     67.1281
05300     0.5258      0.8270     0.8494     69.4656
05400     0.6281      0.8186     0.8494     68.8293
05500     0.5680      0.8207     0.8494     67.5481
05600     0.5925      0.8186     0.8494     67.7402
05700     0.5965      0.8101     0.8494     66.9973
05800     0.5406      0.8354     0.8494     67.9951
05900     0.6568      0.7911     0.8494     67.6544
06000     0.6187      0.8249     0.8529     68.1715
06100     0.5546      0.8376     0.8529     67.8819
06200     0.5818      0.8249     0.8529     67.2417
06300     0.5930      0.8186     0.8529     67.4447
06400     0.6633      0.7932     0.8529     67.5696
06500     0.5758      0.8249     0.8529     67.6411
06600     0.5091      0.8481     0.8529     68.5667
06700     0.5484      0.8397     0.8529     67.1877
06800     0.5066      0.8439     0.8548     67.3180
06900     0.5538      0.8397     0.8548     66.5434
07000     0.5314      0.8397     0.8548     68.6988
07100     0.5792      0.8270     0.8548     68.6698
07200     0.5859      0.8017     0.8548     68.8156
07300     0.5864      0.8228     0.8548     68.4068
07400     0.5314      0.8291     0.8548     68.8076
07500     0.5721      0.8291     0.8548     68.1766
07600     0.5595      0.8270     0.8576     68.1986
07700     0.4985      0.8586     0.8576     68.0028
07800     0.5187      0.8481     0.8576     68.1682
07900     0.5802      0.8270     0.8576     68.1415
08000     0.5980      0.8270     0.8576     69.0297
08100     0.4985      0.8439     0.8576     69.1861
08200     0.5640      0.8312     0.8576     68.2274
08300     0.6106      0.8122     0.8576     69.2565
08400     0.5102      0.8397     0.8576     67.6294
08500     0.5111      0.8565     0.8576     67.1028
08600     0.5167      0.8354     0.8576     67.3044
08700     0.5810      0.8080     0.8576     66.9412
08800     0.5986      0.7975     0.8576     68.8812
08900     0.5197      0.8502     0.8576     70.1125
09000     0.5244      0.8312     0.8576     68.0876
09100     0.5678      0.8354     0.8576     67.7383
09200     0.5305      0.8397     0.8576     67.2947
09300     0.4437      0.8608     0.8576     67.9416
09400     0.4573      0.8776     0.8576     69.1632
09500     0.5108      0.8397     0.8576     68.2643
09600     0.4738      0.8544     0.8576     67.7678
09700     0.4844      0.8418     0.8576     66.8553
09800     0.4838      0.8502     0.8576     67.0833
09900     0.4978      0.8523     0.8576     68.3336
10000     0.5505      0.8460     0.8576     67.5487
10100     0.4467      0.8671     0.8576     67.3989
10200     0.4812      0.8397     0.8576     69.4269
10300     0.5026      0.8460     0.8576     67.4619
10400     0.5265      0.8502     0.8576     68.1026
10500     0.5138      0.8312     0.8576     68.0388
10600     0.5117      0.8376     0.8576     67.6274
10700     0.4985      0.8523     0.8576     69.5420
10800     0.4342      0.8861     0.8576     68.9546
10900     0.4945      0.8713     0.8576     68.2776
11000     0.4449      0.8650     0.8576     67.8587
11100     0.5411      0.8460     0.8576     67.6975
11200     0.4877      0.8481     0.8576     68.1606
11300     0.5034      0.8481     0.8576     68.0138
