Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=334, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=668, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
44e2e22c-aa76-4449-bb14-44306417fafd
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6831      0.0464     0.0737     10.9782
00100     1.6207      0.4768     0.4903     69.5164
00200     1.2136      0.6329     0.6555     69.5743
00300     0.9944      0.6941     0.7180     69.9156
00400     1.0627      0.6814     0.7375     70.2003
00500     0.9638      0.7025     0.7690     69.1729
00600     0.8195      0.7363     0.7935     69.6056
00700     0.7758      0.7869     0.7935     68.4705
00800     0.7976      0.7553     0.7935     69.6163
00900     0.7452      0.7637     0.7935     70.0123
01000     0.8725      0.7236     0.7935     69.3457
01100     0.7652      0.7532     0.7935     70.4697
01200     0.7393      0.7700     0.7935     69.5685
01300     0.7409      0.7764     0.8081     70.5962
01400     0.6798      0.7806     0.8168     69.6530
01500     0.6088      0.8038     0.8168     69.5965
01600     0.6504      0.8143     0.8173     70.3883
01700     0.6386      0.7996     0.8173     69.8815
01800     0.7598      0.7679     0.8173     70.3936
01900     0.7691      0.7700     0.8173     70.6055
02000     0.7298      0.7743     0.8202     69.5686
02100     0.7201      0.7743     0.8216     69.1286
02200     0.6750      0.8017     0.8286     69.0100
02300     0.7476      0.7722     0.8286     68.7734
02400     0.6584      0.7911     0.8286     69.1442
02500     0.6555      0.8059     0.8286     68.4628
02600     0.6390      0.7890     0.8286     69.3567
02700     0.7309      0.7722     0.8286     70.8068
02800     0.6407      0.8122     0.8308     68.8137
02900     0.6906      0.7827     0.8308     71.9247
03000     0.6799      0.7785     0.8348     70.2413
03100     0.5445      0.8249     0.8348     69.0212
03200     0.5969      0.8249     0.8348     70.1110
03300     0.6609      0.8017     0.8348     69.8705
03400     0.6293      0.7932     0.8348     70.2504
03500     0.6032      0.8122     0.8348     70.0982
03600     0.6300      0.8038     0.8348     69.3080
03700     0.6335      0.8143     0.8348     68.3962
03800     0.5683      0.8186     0.8348     70.4529
03900     0.5897      0.8207     0.8348     68.4980
04000     0.6407      0.7890     0.8348     69.4692
04100     0.5681      0.8291     0.8348     69.3626
04200     0.6406      0.8059     0.8348     70.4440
04300     0.6395      0.7932     0.8383     70.7137
04400     0.6098      0.8165     0.8383     69.1324
04500     0.6615      0.7975     0.8383     69.8617
04600     0.6255      0.7954     0.8383     70.3590
04700     0.6253      0.8165     0.8383     69.4900
04800     0.5926      0.8291     0.8383     69.4484
04900     0.5356      0.8376     0.8383     69.6820
05000     0.5694      0.8418     0.8383     70.5317
05100     0.5243      0.8333     0.8383     70.5079
05200     0.5396      0.8418     0.8383     70.3395
05300     0.5805      0.8333     0.8388     69.1003
05400     0.5930      0.8207     0.8388     69.6501
05500     0.5266      0.8418     0.8445     68.8001
05600     0.5799      0.8312     0.8445     70.3737
05700     0.4721      0.8650     0.8445     69.9588
05800     0.5406      0.8354     0.8445     69.9490
05900     0.5326      0.8502     0.8445     70.1727
06000     0.5030      0.8354     0.8445     70.3126
06100     0.6304      0.7827     0.8445     69.8446
06200     0.5689      0.8207     0.8448     69.4700
06300     0.5182      0.8460     0.8473     71.2326
06400     0.5337      0.8502     0.8473     70.2645
06500     0.5960      0.8249     0.8473     70.7035
06600     0.4637      0.8776     0.8473     69.7486
06700     0.5404      0.8312     0.8473     69.3673
06800     0.5603      0.8165     0.8473     69.9684
06900     0.5529      0.8312     0.8473     68.8313
07000     0.5194      0.8439     0.8473     68.4872
07100     0.5659      0.8397     0.8473     70.2097
07200     0.5611      0.8376     0.8473     68.1323
07300     0.5797      0.8312     0.8473     69.5976
07400     0.4492      0.8629     0.8473     70.1569
07500     0.5704      0.8270     0.8473     69.9715
07600     0.5337      0.8523     0.8473     69.8052
07700     0.4406      0.8608     0.8473     70.9670
07800     0.6048      0.8228     0.8473     69.3422
07900     0.5335      0.8502     0.8473     69.7404
08000     0.5577      0.8186     0.8533     69.3988
08100     0.5782      0.8228     0.8563     69.1511
08200     0.5189      0.8291     0.8563     70.1798
08300     0.4433      0.8713     0.8563     70.3566
08400     0.5188      0.8460     0.8594     70.6034
08500     0.5936      0.8165     0.8594     69.0574
08600     0.5313      0.8270     0.8594     71.0761
08700     0.4859      0.8608     0.8594     70.8700
08800     0.5555      0.8207     0.8594     69.1658
08900     0.5463      0.8333     0.8594     69.5683
09000     0.5359      0.8228     0.8594     70.0080
09100     0.4897      0.8439     0.8594     70.6897
09200     0.5049      0.8608     0.8594     69.8253
09300     0.5598      0.8228     0.8594     69.4508
09400     0.5506      0.8333     0.8594     69.2222
09500     0.5239      0.8544     0.8594     70.3616
09600     0.4979      0.8460     0.8594     70.0156
09700     0.5489      0.8312     0.8594     69.1590
09800     0.5806      0.8017     0.8594     69.2079
09900     0.5313      0.8333     0.8594     69.5298
10000     0.5129      0.8523     0.8594     69.2744
10100     0.4764      0.8565     0.8594     69.7685
10200     0.4846      0.8565     0.8594     71.3502
10300     0.4369      0.8650     0.8594     70.5021
10400     0.4980      0.8312     0.8594     71.0929
10500     0.4841      0.8650     0.8594     69.5457
10600     0.5133      0.8397     0.8594     70.2285
10700     0.4506      0.8586     0.8594     70.7159
10800     0.4401      0.8755     0.8594     70.4353
10900     0.5236      0.8291     0.8594     68.5740
11000     0.4546      0.8565     0.8594     69.7642
11100     0.5851      0.8143     0.8594     69.9482
11200     0.5227      0.8439     0.8594     70.1660
11300     0.5038      0.8523     0.8594     69.3420
11400     0.4581      0.8629     0.8594     70.2485
11500     0.4131      0.8924     0.8594     71.3590
11600     0.4294      0.8776     0.8594     69.5827
11700     0.5337      0.8376     0.8594     69.1074
11800     0.4618      0.8629     0.8594     70.4806
11900     0.4976      0.8481     0.8594     69.1490
12000     0.4952      0.8397     0.8594     69.4889
12100     0.4957      0.8418     0.8594     68.8292
12200     0.4032      0.8903     0.8594     71.6222
12300     0.4910      0.8523     0.8594     69.1752
12400     0.5094      0.8439     0.8594     69.1663
12500     0.5534      0.8460     0.8594     70.0107
12600     0.4291      0.8819     0.8594     69.3485
12700     0.4691      0.8523     0.8594     70.7260
12800     0.4708      0.8481     0.8594     68.7721
12900     0.4353      0.8776     0.8594     70.2686
13000     0.5267      0.8502     0.8594     68.9980
13100     0.4809      0.8460     0.8594     69.7390
13200     0.4697      0.8544     0.8594     69.5561
13300     0.4938      0.8397     0.8594     69.5740
13400     0.4500      0.8713     0.8594     68.5702
13500     0.4965      0.8544     0.8645     69.0021
13600     0.4563      0.8586     0.8645     69.1644
13700     0.4355      0.8713     0.8645     70.0378
13800     0.5550      0.8418     0.8645     70.0577
13900     0.4121      0.8797     0.8645     68.4082
14000     0.3994      0.8797     0.8645     68.4029
14100     0.4472      0.8776     0.8645     68.3242
14200     0.4223      0.8882     0.8645     70.1497
14300     0.4490      0.8544     0.8645     68.3172
14400     0.5161      0.8586     0.8645     69.3733
14500     0.5270      0.8502     0.8645     71.0200
14600     0.3602      0.9030     0.8645     68.3064
14700     0.4334      0.8755     0.8645     69.6151
14800     0.3816      0.8882     0.8645     69.9268
14900     0.3995      0.8882     0.8645     68.8449
15000     0.4585      0.8671     0.8645     70.8028
15100     0.4766      0.8797     0.8645     69.8100
15200     0.4258      0.8840     0.8645     68.6759
15300     0.4948      0.8586     0.8645     70.0020
15400     0.5019      0.8586     0.8645     70.0886
15500     0.3904      0.8840     0.8645     70.4419
15600     0.3496      0.9008     0.8645     68.9343
15700     0.4359      0.8776     0.8645     68.7959
15800     0.3864      0.8966     0.8645     70.5067
15900     0.4233      0.8755     0.8645     69.2439
16000     0.4532      0.8586     0.8645     68.5510
16100     0.4811      0.8608     0.8645     68.5913
16200     0.4281      0.8755     0.8645     69.1002
16300     0.4091      0.8861     0.8645     69.7445
16400     0.4866      0.8586     0.8645     68.9752
16500     0.3890      0.8819     0.8645     68.8600
16600     0.4469      0.8734     0.8645     69.5487
16700     0.4324      0.8819     0.8645     69.6079
16800     0.5487      0.8397     0.8645     69.4215
16900     0.4837      0.8523     0.8645     69.6459
17000     0.4024      0.8861     0.8645     69.8049
17100     0.4528      0.8755     0.8645     69.8704
17200     0.4375      0.8776     0.8645     69.6581
17300     0.4568      0.8755     0.8645     68.9158
17400     0.4370      0.8713     0.8645     69.1054
17500     0.4361      0.8671     0.8645     69.9838
