Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=364, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=728, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
29fa1e7e-757b-4f91-bc6c-f09464d1ee1d
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6700      0.0717     0.0765     9.8904
00100     1.6091      0.4705     0.5206     49.3373
00200     1.2026      0.5928     0.6408     47.9584
00300     1.0924      0.6561     0.7041     48.8554
00400     1.0411      0.6582     0.7302     48.3985
00500     0.9082      0.7236     0.7620     48.4645
00600     0.8421      0.7511     0.7777     49.4988
00700     0.7718      0.7637     0.7777     47.7200
00800     0.7876      0.7616     0.7777     47.7742
00900     0.8937      0.7321     0.7960     47.9693
01000     0.7377      0.7511     0.7960     48.1291
01100     0.7037      0.7722     0.7960     51.0373
01200     0.7219      0.7679     0.8117     48.3707
01300     0.7710      0.7511     0.8117     47.7479
01400     0.6845      0.7743     0.8117     48.3328
01500     0.7187      0.7827     0.8159     48.4744
01600     0.7553      0.7827     0.8159     48.7433
01700     0.6777      0.7827     0.8259     48.7729
01800     0.6516      0.8038     0.8259     48.0290
01900     0.6706      0.7785     0.8259     47.6718
02000     0.7497      0.7574     0.8259     48.6563
02100     0.7360      0.7595     0.8259     47.5216
02200     0.6722      0.7975     0.8259     47.6906
02300     0.7038      0.7806     0.8259     48.0849
02400     0.6331      0.8143     0.8319     48.0978
02500     0.6065      0.8291     0.8319     48.2688
02600     0.7028      0.7848     0.8319     47.6255
02700     0.6619      0.7890     0.8319     47.5455
02800     0.6430      0.8059     0.8319     48.0886
02900     0.7031      0.7679     0.8319     47.4693
03000     0.6829      0.7806     0.8319     47.6713
03100     0.6747      0.7743     0.8319     48.3415
03200     0.6391      0.7996     0.8319     47.4703
03300     0.6373      0.7996     0.8319     47.5283
03400     0.6223      0.8186     0.8379     48.1801
03500     0.5809      0.8333     0.8379     48.1820
03600     0.7056      0.7996     0.8379     48.3426
03700     0.5832      0.8270     0.8379     47.2819
03800     0.5936      0.8291     0.8379     47.7529
03900     0.6324      0.8312     0.8379     48.2670
04000     0.6344      0.8038     0.8460     47.6035
04100     0.6265      0.8080     0.8460     47.8115
04200     0.6506      0.8017     0.8460     48.6624
04300     0.5807      0.8228     0.8460     47.9298
04400     0.6706      0.7806     0.8460     47.3816
04500     0.5813      0.8418     0.8460     48.0426
04600     0.5958      0.8249     0.8460     47.5998
04700     0.6047      0.8249     0.8460     47.6580
04800     0.6407      0.8017     0.8460     48.2890
04900     0.6425      0.8186     0.8460     48.2388
05000     0.6078      0.8228     0.8460     48.1930
05100     0.6204      0.8080     0.8460     47.7807
05200     0.6014      0.8228     0.8460     47.9152
05300     0.4868      0.8523     0.8460     48.7222
05400     0.6128      0.8228     0.8460     48.1647
05500     0.5755      0.8397     0.8460     48.3797
05600     0.5994      0.8270     0.8460     48.2085
05700     0.6184      0.7954     0.8460     47.7511
05800     0.5972      0.8122     0.8460     47.9561
05900     0.6024      0.8228     0.8460     48.1423
06000     0.6092      0.8165     0.8460     47.8587
06100     0.5430      0.8460     0.8460     48.5396
06200     0.5860      0.8270     0.8460     47.7095
06300     0.5622      0.8101     0.8460     48.2219
06400     0.6008      0.8038     0.8460     48.3719
06500     0.5773      0.8207     0.8460     47.6714
06600     0.5589      0.8228     0.8494     48.2557
06700     0.5743      0.8207     0.8494     48.8624
06800     0.4759      0.8586     0.8494     47.9855
06900     0.5693      0.8376     0.8494     47.8140
07000     0.6139      0.8038     0.8494     48.2123
07100     0.5819      0.8376     0.8494     47.7999
07200     0.5975      0.8038     0.8494     49.5584
07300     0.5547      0.8376     0.8521     48.1086
07400     0.5191      0.8439     0.8521     48.8019
07500     0.5715      0.8165     0.8521     49.9371
07600     0.5632      0.8143     0.8521     48.0895
07700     0.5047      0.8523     0.8521     48.5166
07800     0.5813      0.8186     0.8521     48.3996
07900     0.5663      0.8439     0.8521     48.3720
08000     0.5776      0.8059     0.8521     48.9536
08100     0.4810      0.8586     0.8521     48.2732
08200     0.5279      0.8502     0.8521     47.6241
08300     0.5506      0.8439     0.8521     47.9065
08400     0.5354      0.8397     0.8521     47.7469
08500     0.5271      0.8460     0.8556     47.7936
08600     0.4759      0.8460     0.8556     48.3799
08700     0.5592      0.8376     0.8611     47.9044
08800     0.5905      0.8143     0.8611     47.5081
08900     0.5732      0.8228     0.8611     48.4424
09000     0.4820      0.8629     0.8611     47.3886
09100     0.5084      0.8523     0.8611     47.6808
09200     0.5392      0.8333     0.8611     48.4055
09300     0.4860      0.8586     0.8611     47.6075
09400     0.4592      0.8565     0.8611     47.5791
09500     0.5344      0.8418     0.8611     48.2812
09600     0.4959      0.8565     0.8611     47.9770
09700     0.4980      0.8608     0.8611     48.1669
09800     0.4995      0.8502     0.8611     48.1718
09900     0.4718      0.8502     0.8611     47.8674
10000     0.6123      0.7996     0.8611     48.4289
10100     0.4986      0.8544     0.8611     47.9850
10200     0.4765      0.8439     0.8611     48.2126
10300     0.5157      0.8376     0.8611     48.5094
10400     0.4812      0.8439     0.8632     48.2525
10500     0.5113      0.8439     0.8632     48.0528
10600     0.5668      0.8270     0.8632     48.3775
10700     0.4586      0.8650     0.8632     47.6421
10800     0.4950      0.8586     0.8632     48.0540
10900     0.5368      0.8460     0.8632     48.4020
11000     0.4460      0.8692     0.8632     48.1713
11100     0.5540      0.8270     0.8667     49.0269
11200     0.4841      0.8439     0.8667     48.0822
11300     0.4419      0.8797     0.8667     47.6188
11400     0.5020      0.8418     0.8667     48.5825
11500     0.5350      0.8333     0.8667     47.8285
11600     0.4435      0.8650     0.8667     48.3942
11700     0.5046      0.8523     0.8667     48.7188
11800     0.4264      0.8734     0.8667     48.9450
11900     0.4716      0.8713     0.8667     47.8004
12000     0.4147      0.8650     0.8667     48.7642
12100     0.4858      0.8629     0.8667     48.1631
12200     0.5518      0.8354     0.8667     48.1784
12300     0.4913      0.8460     0.8667     48.7479
12400     0.4522      0.8608     0.8667     47.6652
12500     0.4963      0.8734     0.8667     47.7691
12600     0.4744      0.8713     0.8667     48.2273
12700     0.3817      0.8987     0.8667     47.6824
12800     0.4998      0.8439     0.8667     48.0504
12900     0.5007      0.8333     0.8667     48.2184
13000     0.4065      0.8734     0.8667     47.9147
13100     0.4615      0.8650     0.8667     48.8545
13200     0.4562      0.8797     0.8667     48.5583
13300     0.4155      0.8882     0.8667     49.5120
13400     0.5450      0.8333     0.8667     49.6910
13500     0.4245      0.8755     0.8667     48.0884
13600     0.4478      0.8671     0.8667     48.3772
13700     0.4719      0.8629     0.8667     49.2793
13800     0.4276      0.8608     0.8711     48.6050
13900     0.3984      0.8945     0.8711     47.9925
14000     0.4692      0.8544     0.8711     48.3131
14100     0.5030      0.8439     0.8711     47.4991
14200     0.4649      0.8671     0.8711     48.1046
14300     0.4390      0.8671     0.8711     48.4158
14400     0.4559      0.8502     0.8711     48.4747
14500     0.4700      0.8650     0.8711     49.4270
14600     0.4518      0.8734     0.8711     47.4759
14700     0.5146      0.8333     0.8711     48.2201
14800     0.3973      0.8819     0.8711     48.7179
14900     0.5014      0.8312     0.8711     47.3933
15000     0.4810      0.8692     0.8711     47.9924
15100     0.4456      0.8734     0.8711     48.1931
15200     0.4756      0.8755     0.8711     48.1937
15300     0.4498      0.8671     0.8711     48.2535
15400     0.4517      0.8797     0.8711     48.2502
15500     0.4063      0.8840     0.8711     47.6814
15600     0.4118      0.8671     0.8711     48.5956
15700     0.4120      0.8713     0.8711     48.5490
15800     0.4972      0.8523     0.8711     47.6904
15900     0.4188      0.8797     0.8711     48.7028
16000     0.5123      0.8460     0.8711     47.1453
16100     0.4333      0.8692     0.8711     47.4566
16200     0.4755      0.8502     0.8711     48.0436
16300     0.5922      0.8186     0.8711     47.7942
16400     0.4506      0.8565     0.8722     48.2518
16500     0.4457      0.8692     0.8722     48.1857
16600     0.4452      0.8776     0.8722     47.7837
16700     0.4932      0.8608     0.8722     47.9377
16800     0.4763      0.8565     0.8722     48.5793
16900     0.4869      0.8523     0.8722     48.0647
17000     0.4901      0.8544     0.8722     47.9792
17100     0.4506      0.8734     0.8722     47.8072
17200     0.4884      0.8523     0.8722     47.2398
