Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=400, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=801, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
256d70bd-60be-4ca5-a04f-7a5c121ece3d
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6643      0.0865     0.0863     10.2213
00100     1.5476      0.4789     0.5337     58.3366
00200     1.2416      0.5886     0.6449     58.7145
00300     1.0226      0.6709     0.7327     57.8458
00400     1.0336      0.6688     0.7454     58.2761
00500     0.8674      0.7321     0.7701     58.8646
00600     0.8346      0.7574     0.7969     59.6641
00700     0.8120      0.7321     0.7969     58.8268
00800     0.7367      0.7722     0.7969     58.6495
00900     0.8288      0.7426     0.7993     59.6180
01000     0.6525      0.7975     0.8016     59.5848
01100     0.6685      0.7975     0.8125     58.7582
01200     0.7249      0.7785     0.8125     57.9006
01300     0.7103      0.7637     0.8125     58.8499
01400     0.6742      0.7932     0.8243     58.8686
01500     0.7141      0.7785     0.8243     59.0261
01600     0.7475      0.7595     0.8268     57.3785
01700     0.6427      0.7954     0.8268     55.8886
01800     0.6564      0.8165     0.8268     59.3400
01900     0.6567      0.7827     0.8268     58.6162
02000     0.6420      0.8228     0.8280     59.3630
02100     0.6938      0.7911     0.8280     59.7298
02200     0.6290      0.8143     0.8280     59.1608
02300     0.6109      0.7996     0.8280     58.7397
02400     0.6324      0.8143     0.8280     59.1059
02500     0.5986      0.8017     0.8280     59.2438
02600     0.6653      0.8143     0.8294     58.5675
02700     0.6379      0.7869     0.8294     58.7915
02800     0.6026      0.8333     0.8294     58.9589
02900     0.6649      0.8059     0.8339     59.7347
03000     0.6513      0.7911     0.8351     59.7035
03100     0.6335      0.8186     0.8351     59.7309
03200     0.5539      0.8186     0.8351     59.6390
03300     0.6341      0.8101     0.8351     58.9326
03400     0.6236      0.7975     0.8351     58.7976
03500     0.5857      0.8228     0.8351     59.2781
03600     0.6146      0.8122     0.8355     59.1954
03700     0.5979      0.8122     0.8355     58.9516
03800     0.5317      0.8376     0.8355     59.6476
03900     0.6159      0.8270     0.8434     59.4518
04000     0.6173      0.8080     0.8434     58.7302
04100     0.6126      0.8122     0.8434     59.0669
04200     0.6265      0.8080     0.8434     59.3793
04300     0.5906      0.8101     0.8434     59.9256
04400     0.6728      0.8038     0.8434     58.5788
04500     0.6237      0.8080     0.8434     59.1500
04600     0.5763      0.8291     0.8434     58.1837
04700     0.5581      0.8333     0.8434     58.7067
04800     0.6070      0.8270     0.8434     58.7651
04900     0.6238      0.8228     0.8434     58.7308
05000     0.5584      0.8143     0.8434     58.7938
05100     0.5847      0.8312     0.8439     59.8283
05200     0.5808      0.8291     0.8454     59.8446
05300     0.4562      0.8819     0.8454     59.6783
