Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=411, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=822, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
bc35b733-3402-4d75-b2a8-54a602e093a0
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6713      0.0696     0.0898     9.9364
00100     1.6035      0.4515     0.5314     60.0702
00200     1.2827      0.5970     0.6425     58.2135
00300     1.0829      0.6582     0.7123     59.6305
00400     1.0379      0.6920     0.7508     58.6726
00500     0.8451      0.7384     0.7743     59.2397
00600     0.8554      0.7194     0.7978     59.9131
00700     0.7609      0.7595     0.7978     59.4568
00800     0.8029      0.7426     0.7978     59.2596
00900     0.8829      0.7110     0.7978     60.1954
01000     0.7427      0.7785     0.8034     59.4034
01100     0.7001      0.7911     0.8095     59.7827
01200     0.7400      0.7764     0.8137     59.1029
01300     0.7280      0.7658     0.8137     58.8977
01400     0.6805      0.7848     0.8137     59.2327
01500     0.7365      0.7722     0.8174     59.7481
01600     0.7461      0.7890     0.8249     59.9716
01700     0.6212      0.7954     0.8249     59.6576
01800     0.6902      0.7996     0.8289     59.0723
01900     0.6761      0.7975     0.8289     59.8071
02000     0.6312      0.8143     0.8289     60.4305
02100     0.7003      0.7890     0.8289     59.7708
02200     0.6008      0.8038     0.8352     59.8309
02300     0.6527      0.8122     0.8352     59.6007
02400     0.6759      0.7996     0.8352     59.6398
02500     0.5979      0.8249     0.8411     60.4363
02600     0.6751      0.7827     0.8411     59.3467
02700     0.6201      0.7975     0.8435     61.0670
02800     0.6500      0.7932     0.8435     60.2297
02900     0.7269      0.7890     0.8435     60.3458
03000     0.6332      0.8017     0.8435     60.8653
03100     0.6444      0.7890     0.8452     60.8768
03200     0.5574      0.8354     0.8452     59.9332
03300     0.6484      0.8038     0.8452     60.6030
03400     0.6466      0.8143     0.8452     59.8315
03500     0.5818      0.8165     0.8452     60.2179
03600     0.6413      0.8017     0.8452     59.8400
03700     0.6364      0.8017     0.8455     60.5601
03800     0.6317      0.7911     0.8455     60.5555
03900     0.5759      0.8270     0.8462     60.5901
04000     0.5666      0.8186     0.8462     59.6767
04100     0.5714      0.8186     0.8462     60.7047
04200     0.6735      0.7785     0.8462     60.7046
04300     0.5595      0.8354     0.8462     59.4905
04400     0.6090      0.8059     0.8462     59.8726
04500     0.5588      0.8354     0.8505     60.8911
04600     0.5599      0.8397     0.8505     60.3124
04700     0.5717      0.8249     0.8505     59.6934
04800     0.5718      0.8481     0.8505     60.2118
04900     0.6078      0.8165     0.8505     60.8352
05000     0.5302      0.8481     0.8505     60.8552
05100     0.5502      0.8270     0.8505     60.2940
05200     0.5570      0.8439     0.8505     60.8821
05300     0.4586      0.8544     0.8505     60.3144
05400     0.6009      0.8207     0.8505     60.5677
05500     0.5411      0.8270     0.8505     60.4731
05600     0.5343      0.8460     0.8505     60.8639
05700     0.5468      0.8270     0.8505     60.6621
05800     0.5139      0.8312     0.8522     60.5476
05900     0.4822      0.8439     0.8522     60.2221
06000     0.5516      0.8270     0.8577     60.6235
06100     0.4797      0.8671     0.8577     59.7428
06200     0.5184      0.8418     0.8577     60.7191
06300     0.5519      0.8376     0.8577     60.1721
06400     0.5893      0.8017     0.8577     57.1122
06500     0.5602      0.8270     0.8577     59.5753
06600     0.5769      0.8249     0.8577     59.8617
06700     0.5249      0.8418     0.8577     60.2324
06800     0.5187      0.8418     0.8577     59.1087
06900     0.5344      0.8376     0.8577     60.6276
07000     0.5567      0.8312     0.8577     59.7155
07100     0.5269      0.8460     0.8598     60.0568
07200     0.5466      0.8481     0.8598     60.6783
07300     0.5074      0.8608     0.8598     59.8002
07400     0.4819      0.8544     0.8598     59.4921
07500     0.5162      0.8207     0.8598     60.6131
07600     0.5025      0.8333     0.8598     60.2247
07700     0.5146      0.8544     0.8598     60.0145
