Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=433, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=866, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
d244982e-abd0-4b0d-a4af-87a9c58afd97
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6051      0.0949     0.1346     13.7573
00100     1.6568      0.4430     0.4865     57.8581
00200     1.2230      0.6055     0.6595     55.8528
00300     1.0685      0.6540     0.7268     55.8940
00400     0.9745      0.7089     0.7498     55.7739
00500     0.8823      0.7194     0.7719     55.4872
00600     0.8494      0.7405     0.7764     55.5880
00700     0.8111      0.7574     0.7892     55.9262
00800     0.7444      0.7700     0.7892     55.4903
00900     0.7404      0.7911     0.8037     56.3258
01000     0.7554      0.7637     0.8037     55.6877
01100     0.7116      0.7700     0.8126     55.7852
01200     0.7315      0.7679     0.8126     54.9546
01300     0.7353      0.7827     0.8126     55.3111
01400     0.7804      0.7658     0.8126     55.1886
01500     0.7211      0.7975     0.8126     55.8246
01600     0.6928      0.7848     0.8126     55.3544
01700     0.6437      0.8101     0.8182     55.3666
01800     0.6590      0.7764     0.8227     55.9183
01900     0.6818      0.7869     0.8227     55.5237
02000     0.6364      0.7975     0.8227     56.3477
02100     0.6690      0.7616     0.8227     56.5250
02200     0.6891      0.7890     0.8227     55.5529
02300     0.6737      0.7764     0.8227     55.1408
02400     0.6906      0.8017     0.8309     55.5813
02500     0.6546      0.8017     0.8309     55.2445
02600     0.6840      0.7890     0.8309     55.5712
02700     0.6410      0.7996     0.8309     55.9511
02800     0.6115      0.8228     0.8309     55.6732
02900     0.6443      0.8122     0.8309     56.4529
03000     0.6543      0.8122     0.8309     55.1113
03100     0.5709      0.8291     0.8309     55.4130
03200     0.5462      0.8291     0.8316     55.8351
03300     0.5777      0.8186     0.8316     55.4900
03400     0.6788      0.8080     0.8316     55.8787
03500     0.6312      0.8249     0.8421     56.4878
03600     0.6333      0.8038     0.8421     57.1555
03700     0.5814      0.8354     0.8421     56.3072
03800     0.5935      0.8080     0.8421     56.7145
03900     0.6933      0.7869     0.8421     56.4509
04000     0.5923      0.8143     0.8421     55.9515
04100     0.5688      0.8228     0.8421     56.2948
04200     0.5388      0.8228     0.8421     55.6841
04300     0.6592      0.8038     0.8421     56.2014
04400     0.6119      0.7996     0.8421     56.5640
04500     0.5790      0.8354     0.8421     56.2014
04600     0.6978      0.7975     0.8421     56.0899
04700     0.5310      0.8502     0.8421     56.2025
04800     0.5294      0.8354     0.8421     56.9464
04900     0.5671      0.8228     0.8421     56.2078
05000     0.5892      0.7975     0.8421     55.3232
05100     0.5755      0.8270     0.8428     56.6721
05200     0.5625      0.8165     0.8428     56.5866
05300     0.5988      0.8143     0.8428     56.5275
05400     0.5151      0.8439     0.8428     56.3205
05500     0.5672      0.8207     0.8428     55.8721
05600     0.5390      0.8439     0.8428     56.1180
