Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=433, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=866, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
c107e0ae-fa5d-4975-a5de-6f9fc2ddb8be
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.7125      0.0591     0.0758     10.5003
00100     1.5879      0.5232     0.4927     60.1359
00200     1.2238      0.6118     0.6480     59.7561
00300     0.9883      0.6730     0.7148     56.6748
00400     1.1444      0.6266     0.7228     56.4953
00500     0.9877      0.6899     0.7733     57.9080
00600     0.8860      0.7321     0.7745     58.1368
00700     0.7967      0.7553     0.7902     58.2394
00800     0.7532      0.7722     0.7902     58.2755
00900     0.7492      0.7574     0.7902     57.9937
01000     0.8040      0.7511     0.7918     57.8296
01100     0.8187      0.7447     0.8003     57.1746
01200     0.8310      0.7468     0.8030     57.3641
01300     0.7447      0.7848     0.8030     56.6432
01400     0.6899      0.7637     0.8128     57.1346
01500     0.6472      0.8101     0.8128     57.8685
01600     0.6951      0.7827     0.8128     56.9721
01700     0.7141      0.7869     0.8206     57.3111
01800     0.7438      0.7679     0.8206     56.8373
01900     0.7259      0.7679     0.8206     56.8945
02000     0.7449      0.7700     0.8206     57.1838
02100     0.7127      0.7722     0.8220     57.2759
02200     0.6733      0.7975     0.8220     57.7224
02300     0.7205      0.7827     0.8230     56.4304
02400     0.6597      0.7869     0.8230     57.2983
02500     0.6987      0.7785     0.8230     57.4813
02600     0.6174      0.8249     0.8230     57.2028
02700     0.6739      0.7975     0.8230     57.0264
02800     0.6718      0.7954     0.8230     57.0378
02900     0.7018      0.7890     0.8263     57.3994
03000     0.6264      0.7806     0.8328     56.9930
03100     0.5499      0.8207     0.8328     57.3175
03200     0.5945      0.8165     0.8328     57.3535
03300     0.6578      0.7932     0.8328     57.4702
03400     0.6456      0.8059     0.8337     57.5215
03500     0.5627      0.8312     0.8337     57.8204
03600     0.5915      0.8143     0.8337     57.7509
03700     0.6459      0.7890     0.8337     57.9537
03800     0.5723      0.8376     0.8337     57.3248
03900     0.6092      0.8038     0.8337     58.5071
04000     0.6079      0.8249     0.8337     57.7954
04100     0.6013      0.8122     0.8411     57.6409
04200     0.6103      0.8080     0.8411     57.5775
04300     0.5608      0.8249     0.8411     57.6607
04400     0.5647      0.8291     0.8411     57.5380
04500     0.5997      0.8228     0.8411     57.0714
04600     0.5668      0.8333     0.8411     57.3489
04700     0.5720      0.8312     0.8411     56.8499
04800     0.5757      0.8122     0.8411     57.2891
04900     0.5688      0.8228     0.8411     56.5909
05000     0.5414      0.8312     0.8411     57.2058
05100     0.5167      0.8481     0.8412     58.1488
05200     0.6415      0.7932     0.8412     56.8602
05300     0.5533      0.8228     0.8464     57.2452
05400     0.5752      0.8312     0.8464     58.2616
05500     0.4690      0.8734     0.8464     57.5215
05600     0.5671      0.8165     0.8464     57.4354
05700     0.4837      0.8734     0.8474     57.6707
05800     0.5485      0.8376     0.8474     58.0759
05900     0.5160      0.8481     0.8474     57.7999
06000     0.5147      0.8481     0.8474     56.8934
06100     0.6408      0.8101     0.8525     57.4274
06200     0.5220      0.8376     0.8525     57.9109
06300     0.5118      0.8439     0.8525     57.4741
06400     0.5548      0.8397     0.8525     57.2347
06500     0.5556      0.8143     0.8525     56.9177
06600     0.5096      0.8523     0.8525     58.0979
06700     0.5160      0.8608     0.8525     57.5573
06800     0.5328      0.8565     0.8525     58.1088
06900     0.5507      0.8291     0.8525     56.8598
07000     0.5196      0.8354     0.8525     57.5110
07100     0.5446      0.8418     0.8525     57.4294
07200     0.5530      0.8397     0.8525     57.5029
07300     0.5654      0.8249     0.8525     58.1591
07400     0.5124      0.8544     0.8525     57.6255
07500     0.5495      0.8460     0.8525     56.9942
07600     0.4917      0.8460     0.8525     57.5959
07700     0.4743      0.8544     0.8525     57.6234
07800     0.5910      0.8312     0.8525     57.3033
07900     0.4506      0.8755     0.8525     57.6314
08000     0.5432      0.8418     0.8525     57.6980
08100     0.5316      0.8291     0.8525     58.0183
08200     0.5258      0.8312     0.8525     57.4213
08300     0.4462      0.8460     0.8525     57.4860
08400     0.5116      0.8608     0.8525     57.1766
08500     0.5846      0.8270     0.8525     56.7893
08600     0.4721      0.8629     0.8525     57.1028
08700     0.4574      0.8397     0.8526     57.2632
08800     0.5920      0.8228     0.8526     57.7531
08900     0.5337      0.8460     0.8527     57.3921
09000     0.5150      0.8418     0.8549     57.5197
09100     0.4643      0.8629     0.8549     57.2205
09200     0.5380      0.8333     0.8549     57.2184
09300     0.5542      0.8249     0.8549     57.1841
09400     0.5080      0.8460     0.8549     57.6676
09500     0.4998      0.8586     0.8549     57.7104
09600     0.5058      0.8502     0.8549     57.7728
09700     0.4538      0.8861     0.8549     57.1242
09800     0.5529      0.8249     0.8549     57.7632
09900     0.5890      0.8101     0.8560     57.2189
10000     0.5265      0.8354     0.8560     57.1906
10100     0.4547      0.8671     0.8595     58.0416
10200     0.4488      0.8734     0.8595     57.6238
10300     0.4016      0.8903     0.8595     58.0326
10400     0.3940      0.8840     0.8613     57.7482
10500     0.4918      0.8439     0.8613     57.2356
10600     0.4399      0.8650     0.8613     57.2449
10700     0.4388      0.8586     0.8637     57.0701
10800     0.4741      0.8523     0.8637     57.2564
10900     0.4338      0.8692     0.8637     57.6896
11000     0.4492      0.8650     0.8637     58.2988
11100     0.5128      0.8354     0.8670     57.5984
11200     0.4848      0.8544     0.8670     57.3788
11300     0.5033      0.8586     0.8670     57.5582
11400     0.4120      0.8776     0.8670     57.4289
11500     0.4527      0.8629     0.8670     57.5232
11600     0.4265      0.8797     0.8670     57.3591
11700     0.5006      0.8586     0.8670     57.8179
11800     0.4183      0.8861     0.8670     57.6404
11900     0.4737      0.8629     0.8670     56.9179
12000     0.4781      0.8671     0.8670     56.9751
12100     0.4439      0.8776     0.8670     57.4745
12200     0.3937      0.8987     0.8670     57.8746
12300     0.4050      0.8755     0.8670     57.0816
12400     0.4762      0.8481     0.8670     56.9982
12500     0.4579      0.8586     0.8670     57.6579
12600     0.4135      0.8945     0.8696     57.6423
12700     0.4126      0.8608     0.8696     57.2959
12800     0.3958      0.8755     0.8696     57.7801
12900     0.3990      0.8734     0.8696     57.2543
13000     0.4864      0.8608     0.8696     57.6784
13100     0.4197      0.8840     0.8696     56.9824
13200     0.4227      0.8734     0.8696     57.9248
13300     0.4760      0.8608     0.8696     58.0816
13400     0.4475      0.8650     0.8696     57.3475
13500     0.4204      0.8755     0.8696     57.5781
13600     0.4447      0.8544     0.8696     58.1121
13700     0.4516      0.8650     0.8696     57.8559
13800     0.5425      0.8502     0.8696     56.8576
13900     0.4155      0.8755     0.8696     56.7139
14000     0.3674      0.8924     0.8696     56.9642
14100     0.4653      0.8608     0.8696     52.7090
14200     0.4443      0.8586     0.8696     52.9398
14300     0.3965      0.8797     0.8696     49.7335
14400     0.5166      0.8376     0.8696     50.3613
14500     0.4294      0.8776     0.8696     50.2058
14600     0.3615      0.9008     0.8696     50.2052
14700     0.3829      0.9008     0.8696     50.3102
14800     0.4073      0.8755     0.8696     48.8486
14900     0.4198      0.8755     0.8696     52.3285
15000     0.4247      0.8797     0.8696     49.0735
