Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=445, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=890, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
08b01ac9-7bc5-4d8b-8a01-0a8305f3078c
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6734      0.0633     0.0819     8.7449
00100     1.6245      0.4515     0.5239     50.5011
00200     1.2709      0.5970     0.6496     50.2724
00300     1.1315      0.6245     0.7041     49.9484
00400     1.1058      0.6287     0.7401     49.1669
00500     0.9514      0.6962     0.7620     49.2177
00600     0.9055      0.7025     0.7808     52.5716
00700     0.8237      0.7384     0.7863     50.4108
00800     0.8194      0.7363     0.7914     51.0236
00900     0.8006      0.7553     0.7953     50.2278
01000     0.7746      0.7511     0.7953     50.0164
01100     0.7345      0.7743     0.8062     51.0284
01200     0.7591      0.7384     0.8062     50.1798
01300     0.7292      0.7806     0.8062     49.7175
01400     0.7330      0.7743     0.8103     49.9002
01500     0.7871      0.7553     0.8103     51.3698
01600     0.8027      0.7363     0.8180     51.6760
01700     0.6871      0.7658     0.8189     51.2834
01800     0.7287      0.7743     0.8189     50.9963
01900     0.7143      0.7806     0.8189     49.9138
02000     0.7111      0.7848     0.8189     49.8745
02100     0.7858      0.7489     0.8189     50.7336
02200     0.6965      0.8017     0.8189     50.2435
02300     0.7047      0.7827     0.8189     49.5661
02400     0.6820      0.7764     0.8189     49.7066
02500     0.6573      0.8122     0.8287     50.0981
02600     0.7096      0.7616     0.8294     49.2286
02700     0.6674      0.7996     0.8294     49.5132
02800     0.6860      0.7911     0.8294     49.4940
02900     0.7665      0.7595     0.8294     48.7571
03000     0.6755      0.7764     0.8348     50.2602
03100     0.7084      0.7743     0.8348     50.2642
03200     0.6152      0.8122     0.8348     49.7527
03300     0.6496      0.8165     0.8348     49.7166
03400     0.7223      0.7890     0.8348     50.0080
03500     0.6056      0.7996     0.8348     50.3914
03600     0.6687      0.7932     0.8348     49.7427
03700     0.6294      0.8122     0.8348     48.9464
03800     0.6455      0.7975     0.8348     48.8422
03900     0.6234      0.8397     0.8348     49.2293
04000     0.6506      0.7932     0.8348     48.8258
04100     0.6565      0.8080     0.8348     48.9412
04200     0.7055      0.7848     0.8348     50.4742
04300     0.5985      0.8165     0.8348     48.9748
04400     0.7218      0.7743     0.8348     49.1313
04500     0.6479      0.8165     0.8348     49.2969
04600     0.6735      0.7975     0.8348     48.3348
04700     0.6309      0.7975     0.8348     49.2470
04800     0.6880      0.7975     0.8348     49.1246
04900     0.6356      0.8101     0.8348     49.2061
05000     0.6156      0.8143     0.8407     49.1583
05100     0.5805      0.8207     0.8407     49.0369
05200     0.5948      0.8143     0.8407     49.1991
05300     0.5100      0.8523     0.8407     49.9627
05400     0.6927      0.7806     0.8407     49.5619
05500     0.6054      0.8165     0.8407     49.5244
