Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=40000, fp_train=0, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=100, noise_injection=0.1, quant_act=4, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
2848ffbe-142a-46bd-bfff-3a68c7b57b7d
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5312      0.1016     0.0870     0.4138
00100     2.3795      0.1934     0.2260     0.2213
00200     2.3785      0.2148     0.2530     0.2512
00300     2.3470      0.1602     0.2530     0.2340
00400     2.3858      0.1406     0.2530     0.2493
00500     2.3826      0.1621     0.2530     0.2653
00600     2.2924      0.1719     0.2530     0.2362
00700     2.2816      0.2227     0.2530     0.2199
00800     2.2928      0.2207     0.2530     0.2443
00900     2.2992      0.1875     0.2530     0.2263
01000     2.3163      0.1719     0.2530     0.2465
01100     2.2890      0.1836     0.2530     0.2343
01200     2.2749      0.1895     0.2530     0.2376
01300     2.2766      0.1699     0.2590     0.2480
01400     2.2849      0.2031     0.2590     0.2433
01500     2.5316      0.1328     0.2590     0.2572
01600     2.3405      0.1738     0.2590     0.2301
01700     2.3404      0.1777     0.2590     0.2322
01800     2.2658      0.2012     0.2590     0.2263
01900     2.3882      0.2168     0.2590     0.2811
02000     2.3505      0.1660     0.2590     0.2677
02100     2.3487      0.1797     0.2590     0.2398
02200     2.3734      0.1621     0.2590     0.2422
02300     2.3421      0.1875     0.2590     0.2336
02400     2.2579      0.2051     0.2590     0.2291
02500     2.2770      0.1953     0.2710     0.2559
02600     2.2505      0.1992     0.2710     0.2286
02700     2.2716      0.2422     0.2710     0.2788
02800     2.4530      0.1719     0.2720     0.2644
02900     2.3540      0.1426     0.2720     0.2245
03000     2.4899      0.1777     0.2720     0.2278
03100     2.3127      0.2188     0.2720     1.4171
03200     2.2824      0.2012     0.2720     0.2248
03300     2.2335      0.2539     0.2720     0.2659
03400     2.2134      0.2422     0.2720     0.2367
03500     2.2289      0.2559     0.2720     0.2302
03600     2.2451      0.2246     0.2720     0.2483
03700     2.2079      0.2480     0.2770     0.2638
03800     2.2243      0.2598     0.2770     0.2335
03900     2.2465      0.2031     0.2770     0.2415
04000     2.2090      0.2461     0.2770     0.2739
04100     2.2814      0.2285     0.2770     0.2304
04200     2.3918      0.1582     0.2770     0.2785
04300     2.2656      0.2012     0.2770     0.2302
04400     2.2547      0.2012     0.2770     0.2541
04500     2.2337      0.1934     0.2770     0.2358
04600     2.2039      0.2266     0.2770     0.2378
04700     2.1989      0.2461     0.2770     0.2086
04800     2.2067      0.2070     0.2770     0.2329
04900     2.2248      0.2324     0.2810     0.2666
05000     2.3513      0.1875     0.2810     0.2276
05100     2.1985      0.2539     0.2810     0.2300
05200     2.2087      0.2461     0.2810     0.2603
05300     2.2405      0.2188     0.2810     0.2423
05400     2.2130      0.2188     0.2810     0.2511
05500     2.2060      0.2344     0.2810     0.2552
05600     2.1987      0.2090     0.2810     0.2286
05700     2.1719      0.2754     0.2950     0.2656
05800     2.2173      0.2637     0.2950     0.2111
05900     2.2217      0.2305     0.2950     0.2161
06000     2.2204      0.2480     0.2950     0.2235
06100     2.2094      0.2363     0.2950     0.2252
06200     2.2142      0.2676     0.2950     0.2707
06300     2.1975      0.2559     0.3240     0.2934
06400     2.2068      0.2363     0.3240     0.2431
06500     2.4955      0.1191     0.3240     0.2604
06600     2.5045      0.1016     0.3240     0.2831
06700     2.5154      0.0879     0.3240     0.2097
06800     2.5170      0.0879     0.3240     0.2422
06900     2.5257      0.0703     0.3240     0.2789
07000     2.5343      0.0684     0.3240     0.2179
07100     2.3803      0.1582     0.3240     0.2634
07200     2.2812      0.2324     0.3240     0.2578
07300     2.2083      0.2500     0.3240     0.2293
07400     2.2191      0.2324     0.3240     0.2639
07500     2.2557      0.2188     0.3240     0.2123
07600     2.1871      0.2578     0.3240     0.2719
07700     2.1926      0.2285     0.3240     0.2327
07800     2.2069      0.2656     0.3240     0.2210
07900     2.1786      0.2793     0.3240     0.2215
08000     2.2937      0.1660     0.3240     0.2641
08100     2.2008      0.2305     0.3240     0.2706
08200     2.2103      0.2148     0.3240     0.2414
08300     2.2116      0.2461     0.3240     0.2220
08400     2.2051      0.2422     0.3240     0.1956
08500     2.1975      0.2637     0.3240     0.2701
08600     2.2595      0.2051     0.3240     0.2249
08700     2.2131      0.2656     0.3240     0.2296
08800     2.2205      0.2168     0.3240     0.2065
08900     2.2362      0.2520     0.3240     0.2320
09000     2.2046      0.2676     0.3240     0.2331
09100     2.2259      0.2344     0.3240     0.2265
09200     2.1761      0.2754     0.3240     0.2150
09300     2.1821      0.2656     0.3240     0.2097
09400     2.1778      0.2480     0.3240     0.2249
09500     2.2195      0.2266     0.3240     0.2045
09600     2.1954      0.2773     0.3240     0.2194
09700     2.1990      0.2637     0.3240     0.2302
09800     2.2158      0.2109     0.3240     0.2155
09900     2.1898      0.2441     0.3240     0.2166
10000     2.2587      0.2246     0.3240     0.2007
10100     2.2334      0.2012     0.3240     0.2173
10200     2.1943      0.2344     0.3240     0.2251
10300     2.2175      0.2148     0.3240     0.2016
10400     2.2197      0.2266     0.3240     0.2187
10500     2.1753      0.2500     0.3240     0.2907
10600     2.1958      0.2949     0.3240     0.2236
10700     2.2426      0.2285     0.3240     0.2804
10800     2.2694      0.2051     0.3240     0.2118
10900     2.3822      0.1992     0.3240     0.2144
11000     2.2406      0.2344     0.3240     0.1979
11100     2.2342      0.2344     0.3240     0.2325
11200     2.2765      0.1816     0.3240     0.2134
11300     2.2414      0.2227     0.3240     0.2182
11400     2.2333      0.2188     0.3240     0.2113
11500     2.2247      0.2031     0.3240     0.2200
11600     2.2024      0.2520     0.3240     0.2288
11700     2.2351      0.2129     0.3240     0.2066
11800     2.2206      0.2461     0.3240     0.2265
11900     2.2032      0.2461     0.3240     0.2145
12000     2.1826      0.2812     0.3240     0.2355
12100     2.1775      0.2559     0.3240     0.2065
12200     2.1781      0.2402     0.3240     0.2093
12300     2.2173      0.2344     0.3240     0.2199
12400     2.1982      0.2500     0.3240     0.2168
12500     2.1993      0.2402     0.3240     0.2261
12600     2.2116      0.2383     0.3240     0.2253
12700     2.1755      0.2578     0.3240     1.5733
12800     2.2354      0.2441     0.3240     0.2258
12900     2.1847      0.2500     0.3240     0.2213
13000     2.1777      0.2422     0.3240     0.2204
13100     2.1830      0.2539     0.3240     0.2073
13200     2.1720      0.2539     0.3240     0.2153
13300     2.1659      0.2891     0.3240     0.2168
13400     2.2404      0.2305     0.3240     0.2099
13500     2.1994      0.2559     0.3240     0.2416
13600     2.3181      0.1758     0.3240     0.2123
13700     2.3067      0.2188     0.3240     0.2120
13800     2.2365      0.2402     0.3240     0.2160
13900     2.2485      0.2402     0.3240     0.2288
14000     2.2192      0.2480     0.3240     0.2135
14100     2.2647      0.2422     0.3240     0.2065
14200     2.1945      0.2695     0.3240     0.2339
14300     2.2055      0.2520     0.3240     0.2056
14400     2.2373      0.1992     0.3240     0.2229
14500     2.1994      0.2520     0.3240     0.2090
14600     2.2353      0.2402     0.3240     0.2024
14700     2.1907      0.2109     0.3240     0.2069
14800     2.2302      0.2598     0.3240     0.1950
14900     2.2066      0.2480     0.3240     0.1862
15000     2.2237      0.2520     0.3240     0.1935
15100     2.2062      0.2383     0.3240     0.2235
15200     2.1875      0.2676     0.3240     0.2008
15300     2.1786      0.2715     0.3240     0.1942
15400     2.1988      0.2500     0.3240     0.1988
15500     2.1826      0.2676     0.3240     0.1883
15600     2.1768      0.2734     0.3240     0.1912
15700     2.1682      0.2715     0.3240     0.1966
15800     2.2046      0.2578     0.3240     0.1938
15900     2.1910      0.2969     0.3240     0.1927
16000     2.1720      0.2910     0.3240     0.2034
16100     2.2138      0.2246     0.3240     0.1993
16200     2.1769      0.3027     0.3240     0.1905
16300     2.1930      0.2559     0.3240     0.1841
16400     2.1923      0.2344     0.3240     0.2043
16500     2.1615      0.2598     0.3240     0.1963
16600     2.1993      0.2441     0.3240     0.1939
16700     2.2090      0.2520     0.3240     0.1869
16800     2.2071      0.2402     0.3240     0.1851
16900     2.1789      0.2520     0.3240     0.1891
17000     2.1781      0.2891     0.3240     0.2124
17100     2.2062      0.2559     0.3240     0.2143
17200     2.1896      0.2324     0.3240     0.1979
17300     2.1596      0.2695     0.3240     0.1975
17400     2.2170      0.2402     0.3240     0.1851
17500     2.2261      0.2285     0.3240     0.2162
17600     2.2360      0.2324     0.3240     0.2176
17700     2.2505      0.2129     0.3240     0.1893
17800     2.2863      0.1875     0.3240     0.1907
17900     2.1691      0.3008     0.3240     0.1963
18000     2.1792      0.2637     0.3240     0.1954
18100     2.1747      0.2578     0.3240     0.1954
18200     2.1815      0.2480     0.3240     0.2007
18300     2.1566      0.2637     0.3240     0.2527
18400     2.1530      0.2754     0.3240     0.1975
18500     2.1706      0.2617     0.3240     0.1833
18600     2.2265      0.2676     0.3240     0.1955
18700     2.2029      0.2539     0.3240     0.1973
18800     2.2106      0.2539     0.3240     0.1781
18900     2.3206      0.2109     0.3240     0.1849
19000     2.3260      0.2266     0.3240     0.1853
19100     2.2700      0.2070     0.3240     0.1838
19200     2.1943      0.2773     0.3240     0.1830
19300     2.1942      0.2793     0.3240     0.1835
19400     2.1658      0.2617     0.3240     0.1837
19500     2.1596      0.3125     0.3240     0.1815
19600     2.1940      0.2520     0.3240     0.1869
19700     2.1837      0.2812     0.3240     0.1928
19800     2.2292      0.2324     0.3240     0.1845
19900     2.2674      0.2188     0.3240     0.1964
20000     2.1884      0.2773     0.3240     0.2060
20100     2.1908      0.2578     0.3240     0.1857
20200     2.1940      0.3008     0.3240     0.1964
20300     2.1972      0.2305     0.3240     0.1998
20400     2.1954      0.2676     0.3240     0.1979
20500     2.2197      0.2305     0.3240     0.1908
20600     2.1618      0.2598     0.3240     0.2178
20700     2.2057      0.2578     0.3240     0.1851
20800     2.2248      0.2500     0.3240     0.2126
20900     2.2097      0.2246     0.3240     0.1958
21000     2.1880      0.2246     0.3240     0.2005
21100     2.1966      0.2383     0.3240     0.2046
21200     2.1724      0.3066     0.3240     0.2047
