Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=40000, fp_train=0, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0.1, quant_act=4, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
9a43a1db-281a-4595-a441-50ccbd97a409
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5245      0.0684     0.0840     0.2625
00100     2.4864      0.0918     0.1070     0.1806
00200     2.4841      0.0820     0.1100     0.1746
00300     2.4885      0.0840     0.1180     0.1710
00400     2.4704      0.1230     0.1290     0.1752
00500     2.4562      0.1367     0.1480     0.1800
00600     2.4573      0.1309     0.1690     0.1804
00700     2.4345      0.0898     0.1710     0.1935
00800     2.4569      0.1133     0.1710     0.1771
00900     2.4796      0.0840     0.1710     0.1808
01000     2.4265      0.1152     0.1710     0.1942
01100     2.4145      0.1309     0.1710     0.1817
01200     2.4849      0.0996     0.1710     0.1787
01300     2.4843      0.0938     0.1710     0.1723
01400     2.4833      0.0898     0.1710     0.1907
01500     2.4742      0.1172     0.1710     0.1782
01600     2.4838      0.0879     0.1710     0.1828
01700     2.4828      0.0938     0.1710     0.1802
01800     2.4454      0.0996     0.1710     0.1811
01900     2.4770      0.0996     0.1710     0.1750
02000     2.4749      0.0918     0.1710     0.1780
02100     2.4723      0.0840     0.1710     0.1753
02200     2.4384      0.1230     0.1710     0.1732
02300     2.5200      0.0859     0.1810     0.1801
02400     2.4850      0.0742     0.1810     0.1759
02500     2.4788      0.0977     0.1810     0.1814
02600     2.4831      0.0918     0.1810     0.1784
02700     2.4806      0.0859     0.1810     0.1870
02800     2.4716      0.1113     0.1810     0.1804
02900     2.4496      0.1504     0.1810     0.1759
03000     2.4439      0.1445     0.1810     0.1768
03100     2.4403      0.1250     0.1880     2.2514
03200     2.4313      0.1562     0.1880     0.1780
03300     2.4464      0.1211     0.1990     0.1707
03400     2.4578      0.0938     0.1990     0.1733
03500     2.4466      0.1445     0.1990     0.1754
03600     2.4875      0.0938     0.1990     0.1768
03700     2.4425      0.1328     0.1990     0.1817
03800     2.4305      0.1426     0.1990     0.1761
03900     2.4585      0.1504     0.1990     0.1838
04000     2.4581      0.1426     0.1990     0.1844
04100     2.4849      0.0684     0.1990     0.2076
04200     2.4931      0.0664     0.1990     0.1789
04300     2.4863      0.0918     0.1990     0.1780
04400     2.4859      0.0781     0.1990     0.1819
04500     2.4847      0.0684     0.1990     0.1802
04600     2.4817      0.1016     0.1990     0.1792
04700     2.4830      0.0938     0.1990     0.1796
04800     2.4895      0.0645     0.1990     0.1802
04900     2.4826      0.0898     0.1990     0.1703
05000     2.4837      0.0977     0.1990     0.1832
05100     2.4832      0.0762     0.1990     0.1744
05200     2.4879      0.0781     0.1990     0.1742
05300     2.4817      0.0938     0.1990     0.1791
05400     2.4836      0.1016     0.1990     0.1813
05500     2.4824      0.0938     0.1990     0.1957
05600     2.4806      0.1016     0.1990     0.1770
05700     2.4894      0.0938     0.1990     0.1795
05800     2.4804      0.0840     0.1990     0.1806
05900     2.4644      0.1035     0.1990     0.1800
06000     2.4313      0.1113     0.1990     0.1829
06100     2.4811      0.0898     0.1990     0.1786
06200     2.4096      0.1699     0.1990     0.1796
06300     2.4352      0.1602     0.1990     0.1728
06400     2.4991      0.1367     0.2080     0.1756
06500     2.4311      0.1992     0.2080     0.1805
06600     2.4107      0.1816     0.2420     0.1732
06700     2.3985      0.2070     0.2420     0.1789
06800     2.4594      0.1523     0.2450     0.1773
06900     2.3846      0.1953     0.2470     0.1810
07000     2.3890      0.1797     0.2470     0.1728
07100     2.3744      0.2109     0.2470     0.1786
07200     2.3566      0.2188     0.2470     0.1844
07300     2.3880      0.1523     0.2520     0.1905
07400     2.3443      0.2383     0.2530     0.1794
07500     2.3442      0.2363     0.2620     0.1817
07600     2.4795      0.1113     0.2620     0.1843
07700     2.4364      0.1660     0.2620     0.1761
07800     2.3564      0.1816     0.2620     0.1796
07900     2.3463      0.1719     0.2620     0.1832
08000     2.3776      0.1758     0.2620     0.1777
08100     2.3095      0.2012     0.2620     0.1830
08200     2.3173      0.1953     0.2620     0.1819
08300     2.3108      0.1973     0.2920     0.1741
08400     2.2906      0.2168     0.2920     0.1659
08500     2.3355      0.2070     0.2920     0.1790
08600     2.3154      0.1953     0.2920     0.1889
08700     2.3307      0.1641     0.2920     0.1866
08800     2.3173      0.1973     0.2920     0.1780
08900     2.3070      0.2031     0.2920     0.1577
09000     2.2939      0.1738     0.2920     0.1541
09100     2.3166      0.2070     0.2920     0.1580
09200     2.3385      0.1582     0.2920     0.1601
09300     2.3063      0.2109     0.2920     0.1740
09400     2.3490      0.1719     0.2920     0.1574
09500     2.3017      0.1992     0.2920     0.1948
09600     2.3070      0.1953     0.2920     0.1638
09700     2.2835      0.2012     0.2920     0.1570
09800     2.3195      0.2324     0.2920     0.1594
09900     2.3103      0.2109     0.2920     0.1840
10000     2.2839      0.2031     0.2920     0.1555
10100     2.2627      0.2148     0.2920     0.1643
10200     2.2915      0.2246     0.2920     0.1600
10300     2.3049      0.1973     0.2920     0.1589
10400     2.2674      0.2051     0.2920     0.1659
10500     2.2880      0.1777     0.2920     0.1843
10600     2.2721      0.2070     0.2920     0.1633
10700     2.2652      0.1953     0.2920     0.1658
10800     2.2841      0.1895     0.2920     0.1676
10900     2.3030      0.1855     0.2920     0.1640
11000     2.2887      0.2109     0.2920     0.1582
11100     2.2431      0.2383     0.2920     0.1653
11200     2.2847      0.2090     0.2920     0.1824
11300     2.2866      0.1797     0.2920     0.1629
11400     2.2639      0.1914     0.2920     0.1711
11500     2.2778      0.1992     0.2920     0.1728
11600     2.2743      0.1992     0.2920     0.1711
11700     2.2573      0.2051     0.2920     0.1634
11800     2.2641      0.2168     0.2920     0.1610
11900     2.2659      0.1895     0.2920     0.1699
12000     2.2432      0.2285     0.2920     0.1590
12100     2.2751      0.1895     0.2920     0.1549
12200     2.2656      0.1914     0.2920     0.1610
12300     2.2519      0.1914     0.2920     0.1565
12400     2.2516      0.2051     0.2920     0.1805
12500     2.2566      0.1934     0.2920     0.1602
12600     2.2802      0.1953     0.2920     0.1567
12700     2.2146      0.2168     0.2920     2.6056
12800     2.2605      0.2305     0.2920     0.1797
12900     2.2703      0.1719     0.2920     0.1566
13000     2.2799      0.2188     0.2920     0.1645
13100     2.2588      0.2012     0.2920     0.1605
13200     2.2256      0.2363     0.2920     0.1696
13300     2.2402      0.2109     0.2920     0.1667
13400     2.2313      0.1797     0.2920     0.1683
13500     2.2195      0.2402     0.2920     0.1639
13600     2.2732      0.1816     0.2920     0.1855
13700     2.2060      0.2266     0.2920     0.1642
13800     2.2809      0.1816     0.2920     0.1643
13900     2.2009      0.1836     0.2920     0.1572
14000     2.2384      0.2188     0.2920     0.1824
14100     2.2309      0.2305     0.2920     0.1568
14200     2.2181      0.2227     0.2920     0.1565
14300     2.2276      0.2109     0.2920     0.1817
