Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.13, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
974868ad-92b6-463a-bb9c-b0f00b73e291
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6665      0.0700     0.1116     14.4401
00100     2.4264      0.1300     0.2362     46.2557
00200     2.0602      0.3100     0.3645     46.4301
00300     1.8285      0.4800     0.4779     46.5236
00400     1.5699      0.4800     0.5493     46.1931
00500     1.3576      0.6400     0.6048     46.2118
00600     1.3399      0.6200     0.6372     44.5743
00700     1.1900      0.5900     0.6844     47.4196
00800     1.1402      0.6800     0.7147     44.9760
00900     1.1419      0.5700     0.7200     44.5832
01000     1.1997      0.6200     0.7367     44.7150
01100     0.9183      0.6900     0.7367     44.8712
01200     1.0863      0.6800     0.7387     48.0628
01300     1.1619      0.5800     0.7387     44.8866
01400     0.9603      0.7300     0.7670     48.3049
01500     1.0346      0.6700     0.7670     46.6614
01600     0.9810      0.6600     0.7670     44.8350
01700     0.9275      0.6900     0.7722     46.7035
01800     1.0197      0.6600     0.7722     48.5898
01900     0.8803      0.7700     0.7722     45.3124
02000     1.0165      0.6600     0.7839     45.0071
02100     1.0049      0.6500     0.7938     45.7049
02200     0.7268      0.7500     0.8096     48.2424
02300     1.2135      0.6300     0.8096     44.7473
02400     1.1120      0.6200     0.8192     46.3774
02500     0.7911      0.7700     0.8192     45.3568
02600     0.7128      0.7900     0.8192     45.1640
02700     0.6087      0.8300     0.8220     45.2710
02800     0.6379      0.7900     0.8220     45.0044
02900     0.7307      0.7900     0.8224     47.3580
03000     0.7839      0.7700     0.8224     48.3902
03100     0.7614      0.7700     0.8259     45.4399
03200     0.7639      0.7200     0.8281     47.8067
03300     0.7676      0.7400     0.8281     45.9414
03400     0.6577      0.8400     0.8281     47.8313
03500     0.7697      0.7500     0.8281     45.0653
03600     0.7177      0.8100     0.8281     45.2970
03700     0.5833      0.8000     0.8281     45.1218
03800     0.7721      0.7500     0.8281     45.0805
03900     0.8045      0.7900     0.8281     45.4949
04000     0.7193      0.7900     0.8347     45.3275
04100     0.6869      0.7800     0.8347     47.7520
04200     0.7511      0.7900     0.8414     48.6187
04300     0.8998      0.7500     0.8414     45.9682
04400     0.8056      0.7600     0.8414     45.9766
04500     0.6125      0.8200     0.8414     45.2886
04600     1.0486      0.6500     0.8414     45.1938
04700     0.7486      0.7900     0.8414     47.2453
04800     0.7127      0.7700     0.8429     45.3358
04900     0.4447      0.9000     0.8429     45.0634
05000     0.6570      0.7500     0.8482     45.2348
05100     0.6442      0.8100     0.8482     46.2288
05200     0.8171      0.7000     0.8482     45.1157
05300     0.8647      0.7500     0.8482     46.2362
05400     0.8965      0.7000     0.8482     44.9712
05500     0.4354      0.8700     0.8488     45.0170
05600     0.4859      0.8600     0.8488     45.6531
05700     0.6962      0.7800     0.8527     45.2532
05800     0.5751      0.8200     0.8527     45.9068
05900     0.6671      0.8200     0.8527     45.7241
06000     0.5952      0.8000     0.8539     46.1597
06100     0.6948      0.8200     0.8539     45.0021
06200     0.4846      0.8600     0.8539     47.2789
06300     0.4521      0.8600     0.8570     45.3729
06400     0.7798      0.7700     0.8570     45.6106
06500     0.5750      0.8600     0.8570     47.6236
06600     0.6485      0.8000     0.8570     46.0624
06700     0.7761      0.7500     0.8611     45.2522
06800     0.6433      0.7900     0.8611     45.7059
06900     0.4914      0.8600     0.8611     45.1485
07000     0.6478      0.7900     0.8611     45.0647
07100     0.7295      0.8000     0.8611     45.3639
07200     0.5630      0.8200     0.8611     45.1733
07300     0.8507      0.7300     0.8611     45.0326
07400     0.5035      0.8800     0.8611     47.3188
07500     0.6885      0.7800     0.8611     47.4844
07600     0.9748      0.6400     0.8611     46.6274
07700     0.7731      0.7500     0.8611     45.7470
07800     0.5885      0.8300     0.8611     45.7220
07900     0.7320      0.7700     0.8611     45.3596
08000     0.5652      0.8400     0.8611     48.1513
08100     0.7242      0.7400     0.8611     50.4171
08200     0.7143      0.8000     0.8611     45.9936
08300     0.6419      0.8300     0.8611     46.5127
08400     0.6218      0.8200     0.8611     44.9919
08500     0.4631      0.8600     0.8611     45.2591
08600     0.4731      0.8400     0.8611     44.9738
08700     0.4944      0.8600     0.8611     45.6563
08800     0.5397      0.8300     0.8611     48.3804
08900     0.4856      0.8500     0.8617     45.4120
09000     0.6347      0.7900     0.8617     48.2788
09100     0.6289      0.7900     0.8617     45.3199
09200     0.4423      0.8800     0.8617     45.0693
09300     0.5896      0.8200     0.8617     45.2948
09400     0.5394      0.8500     0.8617     46.1758
09500     0.5696      0.8200     0.8617     44.8978
09600     0.8341      0.7600     0.8617     45.1794
09700     0.5047      0.8400     0.8617     46.6471
09800     0.6111      0.8200     0.8617     45.3264
09900     0.7094      0.7400     0.8617     48.5871
09999     0.5910      0.8200     0.8617     44.9097
Start testing:
Test Accuracy: 0.8319
