Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.14, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
552c6735-e325-4dc9-8965-efd74b61ef44
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.8403      0.0500     0.0567     13.5425
00100     2.2416      0.2600     0.2737     46.7511
00200     1.9923      0.3300     0.3976     48.8900
00300     1.8445      0.4300     0.4967     49.4133
00400     1.5269      0.5100     0.5539     50.4614
00500     1.3645      0.5600     0.6063     51.1892
00600     1.2788      0.6000     0.6481     50.9049
00700     1.2010      0.6200     0.6700     51.3642
00800     1.2485      0.6000     0.7028     49.7472
00900     1.0989      0.6700     0.7209     49.5686
01000     1.1677      0.6400     0.7264     49.3338
01100     1.1432      0.6500     0.7341     49.0081
01200     1.1559      0.6800     0.7487     50.7436
01300     1.0597      0.7000     0.7487     49.9069
01400     0.9755      0.7000     0.7616     48.4869
01500     0.9648      0.6700     0.7616     49.5403
01600     1.2267      0.6900     0.7616     49.9792
01700     0.9526      0.7000     0.7670     48.8409
01800     1.0175      0.6600     0.7748     49.4162
01900     0.8906      0.7200     0.7748     49.9175
02000     0.9737      0.6500     0.7748     50.3920
02100     1.0656      0.6400     0.7932     51.3225
02200     1.1010      0.6400     0.7981     51.4982
02300     0.7958      0.7000     0.8069     49.9709
02400     0.9804      0.6900     0.8159     50.2939
02500     0.8519      0.7500     0.8159     50.1811
02600     0.6651      0.7500     0.8159     49.9575
02700     0.6803      0.7800     0.8159     49.3209
02800     0.6734      0.7700     0.8159     50.1677
02900     0.9111      0.6700     0.8159     50.3053
03000     0.8682      0.7500     0.8159     50.0009
03100     0.7059      0.7200     0.8159     49.2436
03200     1.0519      0.6900     0.8159     50.0732
03300     0.8336      0.7500     0.8159     50.3883
03400     0.7180      0.7900     0.8159     50.7754
03500     0.7211      0.8100     0.8159     51.2132
03600     0.6018      0.8200     0.8195     49.9900
03700     0.8014      0.7700     0.8195     50.6395
03800     0.8748      0.7300     0.8195     50.0784
03900     0.6881      0.7800     0.8195     51.4508
04000     0.4915      0.8500     0.8333     50.1904
04100     1.0089      0.7000     0.8333     49.9254
04200     0.7511      0.7900     0.8333     49.6996
04300     0.7132      0.7900     0.8333     48.9489
04400     0.6664      0.8300     0.8333     50.9616
04500     0.5616      0.7900     0.8333     51.5102
04600     0.7842      0.8000     0.8336     49.7621
04700     0.7214      0.7800     0.8336     49.6357
04800     0.7626      0.7600     0.8336     49.2616
04900     0.7023      0.8100     0.8336     52.6349
05000     0.5453      0.8400     0.8336     50.3378
05100     0.5355      0.8900     0.8336     51.0934
05200     0.5593      0.8500     0.8336     49.5174
05300     0.8918      0.7100     0.8404     52.5520
05400     0.7642      0.7400     0.8435     52.6884
05500     0.5403      0.8000     0.8436     48.8038
05600     0.6080      0.8300     0.8436     50.0493
05700     0.7087      0.7600     0.8436     50.5541
05800     0.4967      0.8600     0.8471     50.3333
05900     0.7935      0.7700     0.8471     50.1196
06000     0.7009      0.8000     0.8471     50.5748
06100     0.5391      0.8100     0.8471     51.0624
06200     0.4611      0.8800     0.8471     50.6257
06300     0.5850      0.8500     0.8471     50.3946
06400     0.6320      0.8100     0.8471     48.7605
06500     0.7281      0.7200     0.8471     49.5946
06600     0.7431      0.7400     0.8471     50.2910
06700     0.6925      0.7600     0.8507     49.4647
06800     0.6263      0.7900     0.8507     50.8061
06900     0.7655      0.7300     0.8507     51.4393
07000     0.7308      0.7600     0.8507     50.0722
07100     0.6307      0.7900     0.8507     49.9389
07200     0.5295      0.8300     0.8507     50.3903
07300     0.8380      0.7200     0.8507     49.1176
07400     0.5516      0.9100     0.8507     49.2583
07500     0.6940      0.7900     0.8507     51.1922
07600     0.6183      0.7800     0.8507     49.6992
07700     0.6579      0.7700     0.8507     50.2217
07800     0.5844      0.8200     0.8507     50.4230
07900     0.6816      0.8000     0.8507     49.4661
08000     0.5140      0.8500     0.8507     50.6648
08100     0.6267      0.8200     0.8507     49.4708
08200     0.5607      0.8300     0.8507     50.4073
08300     0.9019      0.7400     0.8507     50.7776
08400     0.5640      0.8200     0.8507     52.3610
08500     0.6310      0.7800     0.8507     49.3845
08600     0.7695      0.7700     0.8507     48.4653
08700     0.5093      0.8200     0.8507     49.5028
08800     0.4821      0.8800     0.8507     49.4568
08900     0.6357      0.8300     0.8507     48.9574
09000     0.6899      0.8000     0.8531     49.2742
09100     0.6266      0.8100     0.8531     50.0285
09200     0.6345      0.8400     0.8531     50.0003
09300     0.5326      0.8500     0.8531     48.1588
09400     0.4787      0.8400     0.8531     48.0644
09500     0.6480      0.8200     0.8531     50.1178
09600     0.5894      0.8300     0.8531     46.4989
09700     0.5347      0.8200     0.8531     45.2927
09800     0.4527      0.8700     0.8531     45.4904
09900     0.6870      0.7700     0.8531     45.4014
09999     0.5905      0.8100     0.8584     44.4001
Start testing:
Test Accuracy: 0.8315
