Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', finetuning_epochs=10000, hidden=118, hop_length=320, l2=0.01, learning_rate='0.0005', max_w=0.1, method=0, n_mfcc=40, n_msb=8, noise_injectionI=0.1, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
36277051-7a2e-48a1-97d5-ac017e87faad
Start training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.7510      0.0800     0.0803     15.2203
00100     2.3563      0.2200     0.2532     57.4630
00200     1.9987      0.3000     0.4055     57.4993
00300     1.7533      0.3900     0.4871     58.2110
00400     1.4838      0.5600     0.5524     57.6904
00500     1.5028      0.4700     0.6228     57.8756
00600     1.2228      0.6300     0.6425     57.3589
00700     1.1989      0.6400     0.7010     58.6671
00800     1.0306      0.7100     0.7032     58.7242
00900     0.9616      0.6900     0.7062     59.4606
01000     0.9999      0.6700     0.7264     57.7698
01100     1.0107      0.6900     0.7297     59.1916
01200     0.9244      0.7100     0.7380     58.0877
01300     0.6958      0.8300     0.7496     58.1481
01400     0.7939      0.7300     0.7496     59.3122
01500     1.0062      0.7100     0.7588     57.9759
01600     1.0267      0.6800     0.7671     57.8901
01700     0.9718      0.7100     0.7671     59.9522
01800     0.8062      0.7400     0.7671     58.6300
01900     1.1000      0.6600     0.7683     57.6466
02000     0.6839      0.8200     0.7785     58.6317
02100     0.8606      0.7200     0.8016     57.9772
02200     0.8708      0.7100     0.8016     57.7592
02300     0.8441      0.7300     0.8016     58.5786
02400     0.7463      0.7800     0.8016     58.1887
02500     0.8138      0.7500     0.8072     58.2789
02600     0.7753      0.7600     0.8072     58.5320
02700     0.8879      0.7200     0.8072     57.9143
02800     0.7896      0.7600     0.8072     59.2319
02900     0.6884      0.7800     0.8169     58.2024
03000     0.8298      0.7800     0.8169     59.5879
03100     0.8871      0.7400     0.8169     59.2047
03200     0.6393      0.8200     0.8169     58.9925
03300     0.6275      0.8000     0.8169     59.5806
03400     0.7477      0.7900     0.8194     58.0513
03500     0.7241      0.7800     0.8194     59.8648
03600     0.7583      0.7500     0.8194     58.9447
03700     0.8342      0.7500     0.8194     58.7619
03800     0.8137      0.7500     0.8194     58.7690
03900     0.7774      0.7200     0.8194     58.8491
04000     0.7423      0.7400     0.8271     58.8208
04100     0.7950      0.7600     0.8298     58.2718
04200     0.6406      0.7700     0.8298     59.7493
04300     0.8122      0.7200     0.8318     60.3893
04400     0.7081      0.7400     0.8318     59.6956
04500     0.7723      0.7700     0.8318     58.7661
04600     0.6553      0.8000     0.8318     58.7046
04700     0.7426      0.7800     0.8318     58.7572
04800     0.6995      0.8000     0.8318     58.6821
04900     0.9647      0.6800     0.8318     59.0806
05000     0.5606      0.8300     0.8318     58.7555
05100     0.8163      0.7500     0.8318     59.9396
05200     0.7248      0.7900     0.8318     58.5947
05300     0.5099      0.9000     0.8361     58.9263
05400     0.7042      0.7700     0.8361     58.7491
05500     0.6056      0.8500     0.8388     60.4851
05600     0.6527      0.8000     0.8404     60.1770
05700     0.7894      0.7500     0.8404     60.3815
05800     0.8954      0.7300     0.8404     59.7457
05900     0.5208      0.8500     0.8404     57.7750
06000     0.6652      0.7700     0.8422     59.0200
06100     0.6816      0.7500     0.8422     58.9415
06200     0.6776      0.8000     0.8422     58.2687
06300     0.4919      0.8800     0.8422     58.5751
06400     0.8055      0.7300     0.8422     58.5167
06500     0.7094      0.7600     0.8422     59.0268
06600     0.6087      0.8300     0.8422     58.2852
06700     0.4494      0.8700     0.8422     58.6656
06800     0.6692      0.7800     0.8425     59.6261
06900     0.6346      0.7900     0.8425     59.4329
07000     0.5742      0.7900     0.8425     59.6953
07100     0.6784      0.8100     0.8425     60.0525
07200     0.5907      0.8000     0.8425     58.8221
07300     0.5617      0.8300     0.8425     58.6290
07400     0.6069      0.7900     0.8425     61.8544
07500     0.6839      0.7600     0.8425     61.3532
07600     0.7601      0.7300     0.8425     59.6875
07700     0.6325      0.8400     0.8425     59.1271
07800     0.6074      0.7800     0.8425     59.1796
07900     0.5845      0.8400     0.8425     59.7275
08000     0.6900      0.7900     0.8425     60.0090
08100     0.5968      0.8200     0.8510     59.0319
08200     0.6550      0.7700     0.8510     58.5441
08300     0.7164      0.7700     0.8510     58.2739
08400     0.7799      0.7400     0.8510     58.0621
08500     0.6382      0.8100     0.8510     59.8066
08600     0.4696      0.8500     0.8510     59.6840
08700     0.6978      0.7500     0.8510     57.9711
08800     0.6273      0.7900     0.8510     58.5812
08900     0.5719      0.8400     0.8510     58.6901
09000     0.6122      0.7800     0.8510     59.6149
09100     0.7795      0.7600     0.8510     59.0111
09200     0.4561      0.8700     0.8510     58.7123
09300     0.6926      0.7900     0.8510     59.0782
09400     0.6243      0.8300     0.8510     58.9651
09500     0.6521      0.7900     0.8510     59.7081
09600     0.8072      0.7900     0.8524     58.1323
09700     0.7420      0.7800     0.8524     58.3486
09800     0.3902      0.9000     0.8543     59.4779
09900     0.5185      0.8500     0.8543     59.6821
09999     0.7059      0.7800     0.8543     58.9484
Start testing:
Test Accuracy: 0.8368
