Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, global_beta=1.5, hidden=256, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=4000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
fab00bfd-45ee-40a6-90e5-ed378867526d
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5488      0.0547     0.0928     0.3474
00100     2.4761      0.1094     0.1218     0.2610
00200     2.4432      0.1484     0.1350     0.2854
00300     2.4418      0.1426     0.1510     0.2810
00400     2.4556      0.1055     0.1510     0.2349
00500     2.4753      0.1133     0.1598     0.2513
00600     2.4316      0.1562     0.1598     0.2389
00700     2.4707      0.1172     0.1598     0.2621
00800     2.4384      0.1328     0.1598     0.2387
00900     2.4808      0.0918     0.1640     0.2871
01000     2.4254      0.1309     0.1640     0.2397
01100     2.5427      0.0723     0.1640     0.2712
01200     2.4562      0.1230     0.1640     0.2817
01300     2.4210      0.1777     0.1640     0.2391
01400     2.4406      0.1309     0.1640     0.2373
01500     2.4397      0.1250     0.1640     0.2355
01600     2.4350      0.1309     0.1640     0.2446
01700     2.4377      0.1230     0.1743     0.2471
01800     2.4569      0.1152     0.1743     0.2415
01900     2.3976      0.1992     0.1835     0.2301
02000     2.4075      0.0957     0.1835     0.2352
02100     2.4195      0.1270     0.1835     0.2728
02200     2.4075      0.1523     0.1935     0.2325
02300     2.4175      0.1582     0.1935     0.2366
02400     2.4092      0.1680     0.1938     0.2326
02500     2.3924      0.1699     0.1938     0.2382
02600     2.5001      0.0957     0.1970     0.2355
02700     2.4066      0.1641     0.2008     0.2297
02800     2.3607      0.1895     0.2118     0.2386
02900     2.3671      0.1973     0.2118     0.2281
03000     2.4388      0.1465     0.2118     0.2752
03100     2.3829      0.1523     0.2118     0.2614
03200     2.4084      0.1641     0.2223     0.2827
03300     2.4031      0.1602     0.2223     0.2290
03400     2.3893      0.2051     0.2223     0.2419
03500     2.4076      0.1621     0.2223     0.2370
03600     2.3644      0.2090     0.2223     0.2363
03700     2.4586      0.1445     0.2223     0.2393
03800     2.4001      0.1562     0.2235     0.2440
03900     2.3769      0.2070     0.2243     0.2317
04000     2.3766      0.1895     0.2243     0.2408
04100     2.3559      0.2012     0.2263     0.2334
04200     2.4130      0.1543     0.2263     0.2446
04300     2.3772      0.1914     0.2263     0.2482
04400     2.3561      0.2070     0.2423     0.2692
04500     2.4129      0.1699     0.2423     0.2428
04600     2.4140      0.1738     0.2423     0.2418
04700     2.3810      0.1953     0.2423     0.2597
04800     2.3682      0.2227     0.2423     0.2416
04900     2.3300      0.2480     0.2423     0.2440
05000     2.3833      0.1992     0.2423     0.2417
05100     2.3481      0.2109     0.2423     0.2611
05200     2.3869      0.1855     0.2423     0.2448
05300     2.3669      0.2246     0.2423     0.2712
05400     2.4127      0.1328     0.2423     0.2320
05500     2.3918      0.2031     0.2423     0.2412
05600     2.3580      0.2207     0.2423     0.2714
05700     2.4048      0.1875     0.2423     0.2779
05800     2.3657      0.1816     0.2423     0.2374
05900     2.4075      0.1719     0.2423     0.2320
06000     2.3592      0.2246     0.2423     0.2345
06100     2.3879      0.1582     0.2423     0.2569
06200     2.3516      0.2188     0.2423     0.2402
06300     2.3785      0.1895     0.2423     0.2304
06400     2.4183      0.1660     0.2423     0.2387
06500     2.3425      0.2266     0.2423     0.2361
06600     2.3993      0.1562     0.2423     0.2751
06700     2.4409      0.1680     0.2423     0.2383
06800     2.3412      0.2305     0.2423     0.2397
06900     2.3783      0.1660     0.2423     0.2334
07000     2.3625      0.1953     0.2423     0.2342
07100     2.3612      0.1680     0.2423     0.2411
07200     2.3777      0.1992     0.2423     0.2305
07300     2.3456      0.2285     0.2423     0.2507
07400     2.3633      0.1816     0.2423     0.2300
07500     2.3765      0.2051     0.2423     0.2664
07600     2.3402      0.2051     0.2423     0.2477
07700     2.3783      0.1953     0.2423     0.2420
07800     2.3494      0.2129     0.2423     0.2434
07900     2.3469      0.2031     0.2423     0.2368
08000     2.3640      0.2031     0.2423     0.2767
08100     2.4401      0.1562     0.2423     0.2801
08200     2.3446      0.2109     0.2423     0.2396
08300     2.3679      0.1914     0.2423     0.2343
08400     2.3916      0.1797     0.2423     0.2384
08500     2.3489      0.2109     0.2423     0.2440
08600     2.4007      0.2090     0.2423     0.2413
08700     2.3433      0.1973     0.2423     0.2297
08800     2.3387      0.1895     0.2423     0.2308
08900     2.3741      0.1738     0.2423     0.2514
09000     2.3380      0.2051     0.2423     0.2595
09100     2.3692      0.1895     0.2423     0.2401
09200     2.3716      0.1816     0.2423     0.2458
09300     2.3313      0.1992     0.2423     0.2366
09400     2.5803      0.1348     0.2423     0.2317
09500     2.5653      0.1230     0.2423     0.2570
09600     2.4965      0.1602     0.2423     0.2794
09700     2.5114      0.1250     0.2423     0.2865
09800     2.5195      0.1328     0.2423     0.2469
09900     2.4500      0.1406     0.2423     0.2327
10000     2.4267      0.1445     0.2423     0.2496
10100     2.4597      0.1230     0.2423     0.2364
10200     2.4398      0.1504     0.2423     0.2354
10300     2.4921      0.1016     0.2423     0.2787
10400     2.4419      0.1504     0.2423     0.2346
10500     2.4617      0.1152     0.2423     0.2633
10600     2.5018      0.1348     0.2423     0.2451
10700     2.4037      0.1660     0.2423     0.2448
10800     2.4581      0.1387     0.2423     0.2736
10900     2.4412      0.1250     0.2423     0.2377
11000     2.4684      0.1191     0.2423     0.2307
11100     2.4056      0.1504     0.2423     0.2385
11200     2.4271      0.1328     0.2423     0.2455
11300     2.4299      0.1309     0.2423     0.2401
11400     2.4200      0.1406     0.2423     0.2370
11500     2.4104      0.1562     0.2423     0.2294
11600     2.3965      0.1562     0.2423     0.2337
11700     2.4036      0.1992     0.2423     0.2381
11800     2.4059      0.1523     0.2423     0.2426
11900     2.4884      0.1113     0.2423     0.2374
12000     2.4272      0.1367     0.2423     0.2433
12100     2.3885      0.1543     0.2423     0.2371
12200     2.4516      0.1152     0.2423     0.2812
12300     2.4179      0.1680     0.2423     0.2400
12400     2.4029      0.1738     0.2423     0.2324
12500     2.3928      0.1543     0.2423     0.2315
12600     2.3816      0.1719     0.2423     0.2386
12700     2.3657      0.2188     0.2423     0.2749
12800     2.4232      0.1191     0.2423     0.2467
12900     2.4195      0.1172     0.2423     0.2837
13000     2.3966      0.1758     0.2423     0.2518
13100     2.3989      0.1543     0.2423     0.2358
13200     2.4291      0.1719     0.2423     0.2437
13300     2.3858      0.1660     0.2423     0.2394
13400     2.3801      0.1855     0.2423     0.2342
13500     2.4140      0.1348     0.2423     0.2392
13600     2.3925      0.1660     0.2423     0.2870
13700     2.4018      0.1641     0.2423     0.2477
13800     2.4096      0.1387     0.2423     0.2387
13900     2.4268      0.1289     0.2423     0.2408
14000     2.4043      0.1582     0.2423     0.2365
14100     2.4211      0.1504     0.2423     0.2427
14200     2.4009      0.1543     0.2423     0.2381
14300     2.3808      0.1875     0.2423     0.2358
14400     2.3938      0.1484     0.2423     0.2489
14500     2.4163      0.1504     0.2423     0.2398
14600     2.3788      0.2012     0.2423     0.2404
14700     2.4100      0.1621     0.2423     0.2421
14800     2.4185      0.1191     0.2423     0.2385
14900     2.3895      0.1562     0.2423     0.2352
15000     2.4062      0.1543     0.2423     0.2419
15100     2.3896      0.1602     0.2423     0.2312
15200     2.3770      0.1738     0.2423     0.2758
15300     2.3916      0.1680     0.2423     0.2339
15400     2.4194      0.1348     0.2423     0.2412
15500     2.4088      0.1309     0.2423     0.2374
15600     2.3909      0.1582     0.2423     0.2336
15700     2.4033      0.1738     0.2423     0.2272
15800     2.4050      0.1816     0.2423     0.2366
15900     2.3865      0.1582     0.2423     0.2261
16000     2.3777      0.1562     0.2423     0.2298
16100     2.3952      0.1680     0.2423     0.2312
16200     2.4146      0.1738     0.2423     0.2378
16300     2.3958      0.1777     0.2423     0.2411
16400     2.4296      0.1289     0.2423     0.2412
16500     2.3905      0.1777     0.2423     0.2313
16600     2.4094      0.1543     0.2423     0.2373
16700     2.4189      0.1504     0.2423     0.2360
16800     2.3961      0.1875     0.2423     0.2401
16900     2.3898      0.1699     0.2423     0.2371
17000     2.3964      0.1621     0.2423     0.2311
17100     2.3967      0.1641     0.2423     0.2432
17200     2.3986      0.1445     0.2423     0.2861
17300     2.3774      0.1895     0.2423     0.2648
17400     2.3979      0.1465     0.2423     0.2385
17500     2.4015      0.1973     0.2423     0.2417
17600     2.3749      0.1875     0.2423     0.2402
17700     2.3850      0.1699     0.2423     0.2379
17800     2.4265      0.1406     0.2423     0.2730
17900     2.3821      0.1758     0.2423     0.2423
18000     2.4216      0.1406     0.2423     0.2759
18100     2.3880      0.1719     0.2423     0.2294
18200     2.3925      0.1719     0.2423     0.2562
18300     2.3846      0.1992     0.2423     0.2480
18400     2.3799      0.1738     0.2423     0.2307
18500     2.3694      0.1914     0.2423     0.2723
18600     2.4377      0.1562     0.2423     0.2327
18700     2.3716      0.1875     0.2423     0.2341
18800     2.4136      0.1250     0.2423     0.2312
18900     2.3890      0.1719     0.2423     0.2401
19000     2.3841      0.1738     0.2423     0.2307
19100     2.3820      0.1836     0.2423     0.2552
19200     2.3751      0.1504     0.2423     0.2608
19300     2.3994      0.1426     0.2423     0.2378
19400     2.3795      0.1719     0.2423     0.2725
19500     2.3830      0.1680     0.2423     0.2539
19600     2.4057      0.1387     0.2423     0.2327
19700     2.3614      0.2266     0.2423     0.2501
19800     2.3799      0.1875     0.2423     0.2666
19900     2.4282      0.1582     0.2423     0.2611
Start Testing:
Test Accuracy: 0.1529
