Bits,Hidden 118,uJ 118,Hidden 214,uJ 214,Hidden 344,uJ 344
2,8.34,93.05633112500001,8.34,366.41145740699994,8.34,651.503143898
3,8.45,93.24470111300002,8.38,370.316313609,8.38,652.685472098
4,36.24,93.479635729,41.57,370.991809189,44.42,654.3144576180001
5,78.12,93.77528925700001,82.23,371.84179056100004,84.68,656.363826498
6,89.2,94.135269717,90.96,372.87682411099996,92.37,658.859852698
7,90.88,94.56354762500001,92.84,374.108133633,93.68,661.8288101779999
8,91.49,95.05236319700002,93.35,375.513600243,94.09,665.26993265
9,91.53,95.60559632500001,93.44,377.104283383,93.93,669.10593081
10,91.6,96.22324700900002,93.56,378.88018305299994,94.03,673.3885862899999
11,91.68,96.901525981,93.52,380.8304041629999,94.09,678.09162513
12,91.7,97.64801177700001,93.62,382.97673689300007,93.62,683.26759525
